Identifier 	SK_SC_1	SK_TC_1	SK_SC_2	SK_TC_2	H3B_Ortho_1	H3B_Ortho_2	H3B_Ortho_3	H3B_SC_1	H3B_SC_2	H3B_TC_1	H3B_TC_2	HCC_06	HCC_07	HCC_08	HCC_09	HCC_10	HCC_11	HCC_12	HCC_13	HCC_14	HCC_15	HUH7_Ortho_1	HUH7_SC_1	HUH7_SC_2	HUH7_SC_3	HUH7_TC_1	HUH7_TC_2	NNL_01	NNL_02	NNL_03	NNL_04	NNL_05	Cluster_Number	Cluster_Repr	
NM_003333	308.95	546.69	421.76	696.47	298.84	261.73	343.1	336.68	337.88	300.47	328.36	219.62	187.03	547.92	575.21	425.04	265.4	371.62	354.95	342.05	351.3	108.68	149.84	237.87	267.52	420.35	397.98	213.11	188.89	201.58	168.49	250.37	9	20756	
NM_000516	206.61	287.66	219.15	370.44	366.07	297.85	581.75	336.35	334.25	395.18	395.71	264.13	192.16	228.24	348.39	122.18	176.62	383.4	266.16	53.65	502.02	145.75	224.89	360.56	355.45	527.56	600.63	157.43	171.35	222.62	160.42	196.41	9	20756	
NM_021029	316.15	664.01	294.55	817.2	553.89	399.74	623.66	499.33	647.94	254.26	428.93	244.36	237.19	402.06	462.89	169.6	137.61	121.72	229.26	141.89	625.41	222.74	198.92	345.52	350.98	477.59	432.52	82.71	115.24	111.03	102.77	167.97	9	20756	
NM_003404	267.59	383.59	330.91	446.32	503.85	412.01	395.9	618.72	639.68	414.14	548.06	190.48	138.78	234.83	218.13	171.29	200.34	283.83	310.74	215.32	539.91	99.8	156.46	287.23	261.98	779.91	493.45	108.63	140.22	103.4	123.41	174.18	9	20756	
NM_012423	172.28	469.09	178.21	392.09	176.94	160.32	227.99	250.44	305.95	176.24	212.21	123.69	188.08	274.67	720.63	140.37	112.38	157.21	203.18	196.07	318.09	181.7	144.17	230.97	223.97	231.9	379.66	91.25	118.32	117.65	83.75	121.94	9	20756	
NM_002295	356.69	1082.89	415.99	865.92	413.68	389.98	503.97	514.42	574.96	393.79	564.56	177.41	246.65	375.38	608.28	224.67	137.88	194.87	170.57	157.96	542.15	394.91	429.82	602.34	631.3	889.5	997.28	92.7	100.84	105.87	75.88	132.1	9	20756	
NM_000972	135.57	689.55	158.29	499.32	454.92	371.24	480.73	535.33	622.52	296.74	416.87	145.36	182.12	652.92	774.1	139.94	102.51	151.42	134.33	156.78	484.13	285.7	251.72	420.08	377.55	545.7	620.57	81.21	128.8	134.71	103.7	112.04	9	20756	
NM_002046	367.7	690.38	346.36	559.12	531.11	425.17	674.36	482.74	761.64	464.87	518.82	237.15	103.43	155.56	147.01	114.1	111.46	908.83	94.66	120.01	433.2	210.32	245.55	417.07	397.28	753.84	425.3	81.55	91.25	72.89	65.8	132.74	9	20756	
NM_002948	138.26	399.85	154.13	407.27	340.28	328.66	415.32	393.0	446.22	441.61	454.26	236.14	354.9	260.38	547.61	140.51	138.53	195.95	153.33	177.07	606.04	367.88	365.17	647.91	711.08	848.53	1103.46	109.03	214.13	165.26	152.79	119.22	9	20756	
NM_002128	76.21	61.48	61.52	90.18	144.68	85.79	256.6	192.39	217.76	288.48	269.28	156.93	163.44	73.7	224.37	102.46	110.3	159.91	93.29	136.64	156.38	86.21	144.23	255.68	224.31	394.23	420.86	80.23	129.46	118.26	112.83	90.98	10	3119	
NM_002818	155.33	142.82	169.39	194.52	165.62	114.3	190.19	117.35	141.49	107.78	123.98	193.97	280.02	121.08	84.9	332.69	193.5	378.06	147.55	217.48	166.17	45.36	66.91	132.59	122.08	267.34	161.58	116.31	114.88	148.5	124.2	160.1	10	3119	
NM_001997	165.85	339.95	187.22	346.86	241.68	182.96	304.11	285.69	238.08	219.55	275.22	239.92	184.95	230.45	304.69	216.06	162.46	243.52	146.51	243.87	190.43	87.67	128.86	187.19	178.62	217.49	241.84	145.63	176.93	203.77	177.54	153.04	10	3119	
NM_004547	98.45	152.47	95.87	243.54	141.97	107.83	279.21	110.73	135.82	178.34	182.79	181.44	128.37	157.19	87.26	80.87	89.98	143.25	65.16	131.05	138.22	84.72	119.94	214.89	224.25	434.04	423.15	103.47	107.22	109.87	109.75	102.55	10	3119	
NM_000971	94.59	318.72	127.27	381.31	219.73	136.21	294.35	235.7	304.37	300.42	296.84	177.33	121.34	157.45	461.24	228.88	110.42	81.06	109.07	108.38	375.8	105.41	165.11	163.39	169.47	327.94	302.88	90.08	102.76	80.67	83.82	73.86	10	3119	
NM_003134	94.89	136.55	118.78	232.99	171.89	159.65	244.79	186.04	213.9	209.03	191.03	212.31	172.28	185.17	163.64	131.5	137.48	213.63	169.27	182.05	212.21	74.62	102.43	169.33	182.15	455.84	306.55	115.97	119.03	113.57	103.09	130.42	10	3119	
NM_000224	402.17	311.11	414.47	455.18	218.17	148.86	157.98	256.5	334.48	229.72	380.17	93.62	71.97	130.95	115.69	198.34	117.4	176.71	192.51	78.77	272.73	146.06	181.87	354.22	316.47	805.54	306.49	103.05	130.68	134.32	152.12	255.82	10	3119	
NM_004396	166.88	173.32	177.51	185.04	112.59	96.09	149.09	159.61	187.45	143.77	159.7	156.47	88.81	142.86	188.9	141.66	108.67	326.48	297.78	131.76	143.56	45.05	104.66	137.79	112.03	254.76	213.66	201.24	128.3	111.13	131.72	130.25	10	3119	
NM_003001	48.66	64.28	56.44	122.08	180.93	145.89	192.67	158.95	170.27	132.34	115.82	494.15	152.77	169.59	179.33	190.75	183.12	317.77	269.4	171.25	199.33	38.23	55.27	112.05	113.97	214.7	167.92	141.42	188.27	174.29	170.29	162.19	10	3119	
NM_001540	261.18	284.54	334.87	458.76	299.55	206.49	431.76	202.52	206.43	295.39	343.44	269.42	542.58	202.53	257.93	300.85	325.8	307.54	204.09	175.93	281.64	128.55	113.44	122.23	134.19	267.91	261.0	69.37	104.99	90.64	122.88	184.9	10	3119	
NM_001866	81.21	185.13	67.6	286.82	274.17	259.95	287.87	247.94	278.82	225.73	246.65	335.76	136.11	129.54	97.06	189.29	175.76	262.91	132.21	313.23	190.45	59.18	80.43	163.08	158.65	465.06	291.85	178.38	216.55	169.36	182.58	169.65	10	3119	
NM_004373	79.82	189.23	74.43	235.96	159.7	129.6	207.39	151.14	168.47	184.06	220.05	290.62	133.98	97.4	109.93	174.13	108.48	199.92	105.9	236.31	275.24	69.22	83.05	158.83	149.4	204.05	278.8	94.11	165.36	141.26	103.97	109.95	10	3119	
NM_033546	88.26	178.2	107.7	210.88	240.93	197.25	297.96	339.9	409.25	169.46	281.7	217.5	157.22	104.89	192.71	114.48	141.38	190.24	174.37	144.38	229.87	78.02	79.36	164.49	146.56	584.77	297.99	89.31	123.67	77.84	85.93	157.5	10	3119	
NM_005347	87.45	147.51	112.16	160.35	196.85	242.03	212.23	243.91	231.82	128.45	239.46	236.9	209.98	125.78	157.23	81.43	96.46	282.71	123.89	122.4	199.66	72.94	118.53	198.42	177.67	616.64	214.1	77.14	63.18	48.05	145.11	100.81	10	3119	
NM_004552	91.8	244.55	104.74	257.3	191.96	113.25	260.19	171.23	182.15	232.44	302.81	108.97	120.83	152.46	99.25	94.02	117.08	169.85	158.38	222.09	121.3	85.46	124.57	228.07	200.65	458.36	464.82	102.72	138.64	145.37	122.18	101.01	10	3119	
NM_001865	60.1	144.76	65.82	200.57	256.11	154.94	332.27	223.35	255.94	269.55	284.08	350.61	128.75	189.97	148.81	192.1	105.21	236.81	195.52	345.44	187.12	91.47	110.43	200.14	168.94	474.54	438.28	193.95	173.4	180.65	165.61	146.03	10	3119	
NM_004552	108.07	172.57	112.6	187.88	120.86	74.47	181.28	124.57	136.67	175.15	202.84	87.2	241.49	113.48	69.55	66.31	88.91	114.78	121.71	161.27	99.57	123.34	145.58	169.74	151.37	304.91	353.35	73.06	86.87	97.3	87.74	93.14	10	3119	
NM_001013	164.27	294.32	193.84	279.36	183.7	150.52	182.44	224.7	213.99	163.52	184.11	146.65	116.97	316.19	425.94	178.37	153.35	97.78	167.46	155.4	193.03	178.23	212.71	260.41	289.88	251.86	325.06	117.1	99.36	192.56	122.58	156.53	10	3119	
NM_152263	198.86	216.59	238.12	214.12	233.68	167.08	164.09	231.06	224.88	270.89	222.54	91.87	101.12	180.23	160.13	98.36	109.77	175.01	262.79	79.44	200.01	82.04	99.91	197.99	197.25	410.44	331.61	65.96	89.47	73.88	61.21	84.23	10	3119	
NM_001686	131.13	264.03	118.49	250.24	237.27	261.05	393.18	295.47	305.72	236.11	268.22	337.09	187.54	144.79	234.49	173.55	128.21	263.72	148.82	196.49	181.24	156.39	196.57	323.3	311.96	550.81	478.38	119.76	179.09	145.11	141.92	182.59	10	3119	
NM_021074	25.68	62.66	25.21	82.31	201.43	129.76	230.1	203.29	223.62	138.64	212.47	229.75	133.98	76.2	76.31	136.37	107.33	134.57	61.03	107.6	102.9	82.17	110.05	206.32	190.16	399.54	339.04	111.45	198.95	138.8	114.33	108.56	10	3119	
NM_001861	49.49	124.44	64.13	106.81	147.88	124.3	135.68	143.64	167.37	124.85	155.62	172.75	174.14	198.99	117.28	162.8	125.82	206.65	112.01	196.63	93.61	70.27	92.08	148.07	125.11	275.26	277.78	100.69	111.43	155.39	105.41	134.69	10	3119	
NM_005348	135.23	126.64	143.75	154.09	155.03	177.84	230.34	186.21	229.62	292.96	243.16	190.74	287.38	105.38	169.43	137.95	154.67	128.62	148.9	85.8	300.88	75.98	110.71	262.55	184.08	535.42	345.6	86.08	92.85	65.23	115.26	114.89	10	3119	
NM_004549	44.27	94.61	46.05	109.06	192.3	140.04	280.1	188.46	169.56	198.42	226.66	308.0	189.01	112.41	113.8	177.02	164.91	328.91	97.73	201.77	194.36	67.76	71.69	170.85	132.59	410.94	292.21	117.12	172.23	195.16	122.4	110.0	10	3119	
NM_001152	113.69	196.28	141.85	261.51	391.13	296.5	305.33	341.19	374.26	267.36	289.83	170.81	96.57	184.82	156.01	214.7	156.72	239.53	116.34	153.88	224.29	113.51	164.16	284.73	293.24	448.81	423.69	133.25	135.65	152.72	111.73	134.31	10	3119	
NM_002799	76.93	133.48	66.53	144.06	188.8	164.4	262.1	186.44	201.05	151.81	183.93	133.56	114.79	141.13	94.88	131.38	77.67	211.57	67.01	97.1	138.91	84.97	117.01	252.6	209.69	405.97	306.82	104.47	133.36	135.26	98.64	121.05	10	3119	
NM_000701	58.3	262.79	65.48	186.74	426.24	282.85	124.81	247.37	235.28	274.39	454.24	163.36	163.36	73.98	1195.05	150.29	105.81	280.15	214.02	169.44	429.82	136.71	166.94	228.04	247.6	753.37	569.36	55.85	93.13	52.12	53.28	87.88	10	3119	
NM_005271	27.44	62.61	36.76	48.98	97.69	77.77	95.79	98.76	109.46	129.57	177.69	291.72	1283.14	345.26	315.44	299.41	107.26	573.96	126.37	105.38	227.52	85.45	93.82	165.97	146.51	156.24	134.18	157.18	261.75	393.21	225.19	167.47	10	3119	
NM_004889	97.6	193.58	86.23	254.65	190.81	99.29	132.13	129.54	144.58	130.04	155.31	238.58	111.86	238.01	176.59	106.3	183.21	297.07	146.89	396.65	236.1	126.67	121.53	296.57	227.15	503.18	480.3	97.03	104.91	123.7	102.25	116.32	10	3119	
NM_020548	82.99	158.55	75.61	262.0	276.89	159.14	203.61	194.39	228.15	374.34	398.7	284.13	236.94	150.34	143.56	141.56	163.59	277.5	114.91	164.64	439.82	158.87	183.41	410.88	327.67	619.69	697.53	211.94	265.31	227.86	315.93	118.37	10	3119	
NM_001675	155.24	157.29	261.62	296.59	232.65	260.43	303.12	317.44	328.04	268.8	390.98	255.55	231.06	233.45	337.32	212.11	95.83	149.76	150.34	66.99	360.1	110.85	132.59	222.19	232.84	382.27	332.21	159.13	118.38	159.81	187.24	123.42	10	3119	
NM_033546	126.69	132.64	160.62	208.01	257.07	160.43	187.75	270.83	289.81	183.39	199.73	275.1	89.78	238.37	234.93	113.46	178.65	201.55	196.81	169.91	213.7	89.38	103.39	183.03	169.01	491.69	307.0	170.63	130.18	117.71	117.32	197.22	10	3119	
NM_005005	62.48	129.85	61.64	122.17	140.06	110.18	183.15	135.84	179.19	164.77	248.23	536.11	130.74	138.61	142.03	313.36	203.43	175.02	101.67	302.24	100.09	82.81	90.1	154.5	133.41	304.35	228.41	81.33	118.73	114.99	80.5	105.24	10	3119	
NM_004541	127.97	207.34	105.07	365.15	294.35	236.49	349.73	227.21	276.43	207.23	240.04	244.49	106.93	212.38	110.99	221.5	190.81	303.42	173.98	414.56	178.01	75.04	85.09	162.05	130.87	253.84	304.88	199.59	196.45	197.07	181.13	154.17	10	3119	
NM_002211	227.21	747.52	264.87	709.61	118.48	79.51	145.26	147.92	181.83	170.14	245.42	178.62	111.69	297.34	356.49	110.52	184.96	193.65	357.81	171.47	287.4	60.12	68.68	123.54	121.3	259.59	232.64	101.98	106.09	84.96	90.68	167.42	10	3119	
NM_016050	39.38	63.68	53.45	81.81	97.19	73.19	118.03	102.67	116.8	152.51	139.25	156.31	96.72	140.86	159.31	92.2	86.13	167.92	139.42	149.26	100.22	119.38	135.11	268.85	203.4	477.46	352.02	89.38	86.83	90.31	88.39	97.57	10	3119	
NM_033546	59.13	71.92	82.61	133.06	156.62	110.13	137.41	195.93	226.92	118.33	113.21	166.66	57.48	89.13	136.79	68.63	102.48	122.1	111.43	76.77	136.75	44.43	53.94	97.95	112.26	964.98	189.99	89.85	89.81	70.21	75.67	98.49	10	3119	
NM_006888	248.61	293.53	277.87	383.3	328.36	343.53	433.46	414.22	362.12	236.98	242.3	212.47	259.55	135.67	163.69	152.64	160.77	112.39	201.65	161.78	216.09	74.87	149.36	213.83	194.1	284.89	256.28	173.08	245.83	230.84	197.39	158.36	10	3119	
NM_006597	187.42	548.46	213.21	313.11	311.39	231.33	262.65	287.27	376.63	245.95	367.39	187.61	281.61	160.17	192.94	96.96	97.91	143.49	162.86	127.61	366.37	106.53	164.42	314.96	198.14	694.97	405.27	134.95	83.92	86.71	95.06	90.05	10	3119	
NM_001469	182.23	234.35	184.81	254.34	241.76	190.43	319.98	240.11	284.9	292.37	359.83	127.07	589.26	141.36	201.06	116.61	75.11	83.95	149.02	97.38	328.17	126.7	157.42	292.12	313.24	568.8	474.32	62.04	89.76	65.32	70.79	105.1	10	3119	
NM_005324	153.98	146.14	148.11	179.08	114.93	89.68	157.75	143.28	148.01	182.96	169.03	134.93	118.66	86.36	126.17	194.25	82.24	194.2	238.59	101.15	109.29	107.0	146.28	262.42	269.86	418.7	361.74	68.4	93.8	70.75	73.88	96.45	10	3119	
NM_005063	29.83	125.45	39.65	171.41	114.86	137.05	367.06	128.65	203.78	141.13	235.1	110.44	391.97	776.8	248.89	214.23	137.58	1471.94	35.18	65.52	188.98	47.84	59.18	102.91	110.59	204.67	295.29	7.66	25.15	39.76	72.65	33.36	10	3119	
NM_000918	87.01	281.54	130.48	181.64	199.43	128.76	124.22	143.7	136.24	119.19	287.51	122.27	237.28	228.96	109.22	182.03	143.77	1007.11	166.39	331.11	149.74	109.9	157.82	222.4	234.75	225.95	389.45	95.97	106.54	92.92	125.36	192.23	10	3119	
NM_002948	55.26	156.89	68.79	181.98	117.59	105.12	110.45	102.44	131.17	79.1	102.75	113.9	140.21	176.03	337.26	105.69	75.94	78.5	88.38	108.35	336.38	234.12	271.43	420.12	482.17	439.04	520.93	76.67	96.26	109.35	111.64	109.81	10	3119	
NM_001863	83.13	231.04	76.95	262.67	319.79	228.9	333.66	308.61	305.96	334.46	383.89	241.66	157.66	186.4	229.07	208.15	199.15	318.48	158.95	574.36	249.17	159.07	164.59	265.1	271.86	646.85	624.2	136.8	160.87	144.26	135.84	145.02	10	3119	
NM_001908	121.68	621.1	379.31	445.2	77.22	67.14	23.4	64.95	79.51	19.24	30.16	196.85	108.64	199.45	96.16	178.47	222.84	937.72	289.68	235.29	570.6	55.5	61.56	95.17	99.83	95.24	106.44	446.64	413.2	366.14	275.68	379.95	10	3119	
NM_021141	144.47	274.93	135.36	258.0	213.74	130.94	207.99	235.78	207.93	300.01	453.48	109.64	152.48	139.78	306.0	79.67	10.54	121.51	189.11	202.36	111.6	106.69	127.52	246.54	272.46	497.77	451.23	89.87	136.15	113.17	77.46	88.75	10	3119	
NM_003746	124.02	243.38	166.93	310.83	291.89	219.56	321.13	245.65	288.36	282.38	302.2	143.55	185.3	161.43	174.07	115.91	140.14	247.08	146.59	124.68	258.21	89.18	128.82	280.65	209.74	544.07	405.47	84.06	64.86	73.56	83.42	90.45	10	3119	
NM_003134	98.59	131.2	113.55	213.53	188.13	158.74	268.01	203.2	242.67	300.65	207.67	253.68	172.91	177.98	154.54	129.93	154.83	294.83	162.89	192.53	227.69	62.42	102.23	177.15	175.44	427.7	299.89	135.45	142.19	147.88	114.55	157.39	10	3119	
NM_002567	19.65	60.2	33.07	53.9	121.53	149.92	194.4	149.97	147.87	124.91	91.74	541.38	623.44	119.99	154.62	461.72	178.4	592.96	163.93	342.55	155.36	36.47	52.15	89.32	86.75	123.62	99.73	264.7	481.01	494.51	318.86	276.97	10	3119	
NM_000029	1.17	0.45	2.58	0.24	395.26	357.34	213.24	426.94	610.84	186.72	335.02	321.17	1119.05	304.12	543.71	118.34	263.95	203.59	618.35	537.56	1069.79	138.66	186.59	319.57	347.85	112.52	149.27	157.73	245.55	323.4	193.05	263.63	11	10763	
NM_000029	0.86	0.71	0.23	0.45	420.0	377.96	182.43	293.43	406.3	210.54	230.34	271.23	1236.6	176.42	535.2	169.56	275.45	238.94	358.53	440.06	1065.91	96.31	173.5	292.3	318.03	111.07	102.23	191.7	260.63	239.34	281.66	216.02	11	10763	
NM_004964	0.53	0.38	0.48	0.95	1227.47	1567.08	146.58	1801.36	1773.87	122.92	421.34	582.22	1669.13	183.17	212.39	224.03	318.06	376.32	175.11	213.86	401.0	150.89	124.65	191.77	233.55	301.68	342.17	387.7	1024.89	690.86	575.28	590.61	11	10763	
NM_002796	114.83	202.06	92.33	183.3	164.28	106.71	149.68	150.77	161.46	193.09	155.49	178.47	100.55	185.03	116.8	129.19	94.31	154.14	205.05	95.11	119.17	74.99	85.45	171.25	143.07	381.13	311.58	69.69	88.8	72.82	63.97	88.71	12	3316	
NM_004965	150.29	164.06	169.68	258.0	225.91	170.12	300.57	207.08	227.03	336.04	291.47	90.83	100.64	218.67	237.55	95.97	79.48	163.69	182.78	71.55	126.19	136.28	169.38	303.43	261.02	530.2	490.21	52.77	47.0	63.75	49.1	93.52	12	3316	
NM_002106	154.61	127.62	123.42	94.99	312.74	170.98	271.78	322.78	418.46	399.87	543.82	57.15	66.17	160.81	131.56	112.99	48.82	132.7	88.25	30.49	155.07	192.16	214.41	389.61	312.74	590.61	797.75	27.67	40.45	31.24	33.14	48.1	12	3316	
NM_002654	756.14	986.62	805.86	939.02	386.55	403.1	492.18	612.52	808.91	283.83	466.16	24.92	14.06	102.07	56.13	21.61	48.53	289.17	122.57	33.69	455.16	290.48	278.06	458.46	459.6	960.38	684.9	17.83	13.14	14.55	12.02	50.26	12	3316	
NM_021130	127.36	212.02	108.69	268.47	240.61	164.26	250.36	238.33	274.78	281.42	296.34	102.29	94.35	106.46	150.94	84.78	78.28	149.23	69.16	85.17	223.18	78.06	95.52	187.38	169.2	344.75	301.59	37.96	59.53	45.59	35.35	55.47	12	3316	
NM_001469	90.27	119.93	103.81	126.56	139.61	110.88	204.66	161.81	175.47	215.73	167.22	76.7	120.26	74.43	120.52	76.43	43.91	67.54	85.72	46.63	166.17	63.99	88.56	160.99	153.33	296.47	244.24	44.13	53.38	52.78	50.68	58.22	12	3316	
NM_001011	77.1	211.65	96.93	304.21	254.75	156.36	305.55	263.48	305.81	173.21	263.54	92.99	351.27	148.31	476.85	123.88	46.29	119.69	85.78	73.16	187.43	107.16	102.06	169.58	175.41	178.54	241.33	53.18	69.14	55.2	73.89	54.24	12	3316	
NM_003746	136.91	184.01	166.2	292.34	234.38	215.09	335.24	195.86	272.94	234.87	230.76	137.03	213.19	137.01	134.5	86.82	132.44	224.01	117.42	102.99	275.17	68.46	117.75	260.16	232.27	1431.74	367.69	64.47	64.91	59.37	81.23	80.98	12	3316	
NM_001746	63.99	129.97	85.29	128.99	205.47	156.86	159.56	212.7	245.7	149.58	165.31	101.64	86.21	122.88	220.67	203.51	109.9	242.63	109.58	205.45	127.91	68.62	82.41	155.82	138.28	251.64	190.18	49.88	68.93	53.41	74.69	63.31	12	3316	
NM_001417	75.94	395.59	80.97	309.89	114.4	127.51	225.07	150.2	153.04	123.57	180.67	78.61	114.59	156.16	369.2	74.4	38.92	52.34	106.02	64.19	166.91	140.01	104.39	166.55	156.98	218.51	324.45	42.51	94.51	70.68	60.23	41.07	12	3316	
NM_003096	156.83	165.24	143.77	279.01	331.51	169.5	209.55	245.39	312.18	328.74	354.12	126.83	69.11	127.25	171.22	74.95	63.96	121.48	97.83	92.76	151.63	103.27	130.06	273.83	212.06	521.41	485.3	82.24	67.6	78.73	85.13	63.1	12	3316	
NM_001540	109.83	296.81	149.3	264.06	158.38	125.92	280.12	160.26	145.07	235.97	331.48	193.1	308.72	152.87	184.55	211.98	236.05	297.75	152.0	99.55	155.93	46.65	47.91	60.64	59.76	130.69	152.03	36.02	36.53	65.46	57.39	114.09	12	3316	
NM_004597	177.11	407.1	181.15	506.0	178.11	123.4	182.68	157.24	167.27	274.54	286.9	123.5	36.38	151.66	196.84	98.9	78.07	144.77	110.11	180.75	211.69	131.57	154.2	320.02	295.3	531.09	699.92	54.68	54.26	68.19	50.39	75.8	12	3316	
NM_000365	105.08	178.49	137.84	137.03	226.1	216.17	256.28	255.48	356.42	157.58	222.2	80.35	49.85	38.27	41.34	45.68	49.38	218.31	46.38	80.28	179.35	99.35	88.88	189.17	166.02	192.19	188.96	50.77	56.83	65.61	41.18	66.63	12	3316	
NM_000973	119.06	410.93	119.79	427.75	253.72	179.11	244.0	231.76	241.62	278.25	278.93	300.23	128.8	88.55	361.82	242.99	137.49	141.56	56.38	83.07	153.14	154.03	182.14	324.23	325.1	362.36	509.11	44.36	83.4	61.13	70.46	68.81	12	3316	
NM_003406	173.41	270.51	219.02	333.79	142.93	117.29	296.87	198.86	202.59	218.79	217.43	92.74	42.28	135.37	171.82	137.91	157.01	105.54	141.59	44.62	296.31	70.74	98.33	179.13	182.42	431.67	299.26	52.78	52.26	52.15	49.2	81.78	12	3316	
NM_001013	82.66	247.75	79.92	214.17	133.78	126.9	168.27	163.3	167.21	125.83	176.74	105.21	150.92	145.18	309.78	97.14	81.13	58.12	84.83	106.78	202.02	127.58	141.03	223.11	234.93	187.64	316.34	55.93	109.56	92.62	78.94	92.95	12	3316	
NM_004965	117.69	152.15	158.82	211.68	204.99	124.12	205.1	154.75	161.53	275.75	239.37	68.9	55.85	163.3	184.2	65.92	58.73	126.43	160.22	60.37	110.64	97.08	133.04	237.93	226.56	455.0	424.09	39.05	37.39	43.49	35.99	64.79	12	3316	
NM_020040	195.74	407.11	212.85	262.48	162.9	164.67	211.98	221.51	219.84	346.27	350.67	32.85	75.72	155.05	152.32	82.85	74.85	141.53	118.43	60.49	126.09	127.37	164.2	316.12	222.26	624.0	584.74	47.61	51.32	74.25	56.03	83.01	12	3316	
NM_002295	151.48	484.3	126.32	374.83	191.98	170.58	216.16	211.6	257.28	179.55	228.51	59.78	163.58	136.52	245.86	75.88	45.93	84.02	64.64	68.2	242.19	163.33	169.66	307.3	240.12	330.58	489.69	32.34	39.91	49.6	27.03	50.9	12	3316	
NM_014302	125.21	198.57	119.78	248.41	325.09	212.04	344.57	317.19	385.81	303.8	422.56	138.83	43.24	72.93	126.0	66.44	89.23	129.34	106.42	74.72	322.64	122.43	146.13	290.93	237.14	521.2	360.62	56.92	55.78	57.74	86.36	54.86	12	3316	
NM_001614	243.06	717.99	376.56	692.86	203.6	165.45	175.39	212.7	179.94	217.15	292.12	127.45	42.41	215.02	146.87	64.04	63.66	209.49	93.08	72.03	128.13	129.46	149.24	211.29	264.91	546.33	279.59	54.58	61.2	96.83	78.61	127.88	12	3316	
NM_000269	214.37	541.58	240.55	470.46	224.28	229.96	212.23	311.41	284.73	313.86	321.86	179.54	44.92	146.57	199.92	164.46	82.51	196.21	112.05	83.24	209.39	118.48	163.29	278.82	266.81	703.64	602.89	50.43	72.23	63.47	58.44	82.48	12	3316	
NM_000269	170.64	404.58	163.54	345.17	162.77	126.12	138.59	190.03	184.22	171.06	252.56	121.98	32.17	104.05	116.11	97.31	53.8	105.47	68.87	60.17	130.92	84.44	106.4	197.5	179.53	512.13	391.44	29.67	40.16	34.08	32.79	52.09	12	3316	
NM_006758	130.09	152.02	162.2	180.99	254.25	128.0	157.05	197.73	217.27	237.66	191.24	90.64	58.3	120.89	158.44	86.1	49.61	109.5	74.75	100.76	123.86	75.15	102.73	208.79	172.0	331.59	292.13	64.09	58.11	64.41	62.6	52.7	12	3316	
NM_002295	100.61	450.9	107.87	384.95	176.58	142.77	193.72	179.11	261.13	162.33	211.72	48.06	131.0	109.58	254.28	68.11	40.17	74.92	53.26	50.65	222.58	153.38	151.54	246.47	223.61	322.52	418.62	32.43	45.89	37.53	25.56	32.05	12	3316	
NM_003096	214.86	267.94	164.19	395.28	456.37	198.24	264.23	333.1	318.47	462.55	552.06	171.69	123.09	160.78	190.89	84.99	94.45	156.46	107.58	124.53	145.04	153.0	213.86	309.69	277.49	751.11	694.56	92.21	79.61	94.82	110.3	71.01	12	3316	
NM_006908	117.1	224.19	134.92	258.36	179.48	167.28	214.95	217.3	233.23	236.73	243.75	100.67	56.25	110.52	107.65	59.74	107.52	123.37	145.22	89.58	184.46	68.93	90.68	137.06	143.74	318.42	211.51	44.26	59.95	63.88	55.34	89.88	12	3316	
NM_178014	195.87	392.63	189.54	221.56	88.94	112.33	232.62	201.42	172.17	228.97	447.38	21.22	75.23	129.32	194.31	71.9	73.38	105.95	117.29	39.72	84.86	117.89	138.7	230.87	207.87	530.15	336.03	23.32	36.49	72.22	47.4	61.23	12	3316	
NM_001416	197.69	514.51	232.33	501.2	205.65	137.87	275.48	218.33	219.82	331.13	404.38	171.58	56.17	119.98	132.34	74.53	58.77	85.82	91.44	42.76	120.48	122.36	164.29	288.14	275.37	432.84	408.61	77.78	50.49	65.94	58.53	65.8	12	3316	
NM_178014	221.28	463.82	236.44	343.17	99.36	76.47	173.43	149.66	179.39	437.15	385.29	19.77	68.61	112.53	234.15	77.49	57.77	90.77	135.76	48.44	160.98	95.3	108.21	195.64	157.24	475.54	434.65	44.2	48.69	71.78	51.66	79.74	12	3316	
NM_004832	39.1	123.81	65.94	114.06	37.49	26.9	33.35	35.35	42.12	50.87	53.76	157.6	87.93	88.1	76.94	150.62	127.43	118.19	45.77	83.28	35.06	20.3	23.86	52.6	45.06	147.53	87.25	82.9	126.33	122.46	82.13	97.18	13	7226	
NM_015917	31.09	57.89	31.2	64.09	49.23	39.65	44.68	42.85	53.53	30.76	42.38	148.42	119.22	85.99	126.39	99.06	142.26	155.45	136.62	327.19	50.18	21.64	32.8	72.96	64.51	95.23	87.88	105.58	181.21	133.56	119.96	139.87	13	7226	
NM_020300	11.85	60.44	15.22	68.9	36.65	26.83	3.0	23.43	34.43	57.26	52.53	350.66	128.3	44.36	25.85	352.0	242.35	414.61	58.84	190.83	107.25	36.91	35.42	69.77	67.75	207.67	144.3	189.3	359.96	273.91	241.96	151.56	13	7226	
NM_000018	30.69	64.81	34.4	56.51	57.68	55.88	79.99	56.98	69.47	69.89	115.29	152.74	217.13	71.3	39.38	91.3	68.31	99.03	107.17	49.86	47.41	18.45	32.03	48.19	51.1	62.95	78.9	136.01	171.49	140.92	131.71	135.94	13	7226	
