RefSeq	Patient 1	Patient 2	Patient 3	Patient 4	Patient 5	Patient 6	Patient 7	Patient 8	Patient 9	Patient 10
NM_139001	2.69	1.11	3.21	5.42	2.57	8.96	1.42	5.53	7.55	1.2
NM_010893	9.24	1.49	5.8	8.37	0.29	2.27	7.41	6.2	8.2	2.39
NM_146490	1.34	4.72	5.3	6.9	9.01	2.51	1.28	0.42	0.02	7.28
NM_026449	9.92	2.7	3.07	7.66	2.12	0.73	9.01	2.86	3.09	9.14
NM_010785	5.04	2.87	2.99	8.45	1.64	4.58	2.18	0.01	6.53	6.09
XM_001478988	6.83	5.79	1.33	6.65	3.05	0.87	1.46	7.51	6.23	6.14
NM_027933	1.27	7.44	6.75	1.25	3.16	6.23	0.6	8.91	9.64	4.91
XM_905074	1.32	2.04	5.13	9.32	1.98	0.44	0.47	6.24	4.31	2.05
XM_132099	1.72	3.27	4.94	4.88	0.63	0.69	1.54	0	5.99	1.33
NM_007467	1.75	4.72	6.61	3.86	3.69	8.9	7.09	3.24	3.73	3.23
NM_011533	8.83	6.4	0.26	4.37	3.66	7.71	9.96	5.65	6.42	2.29
NM_033321	7.54	9.88	9.02	5	5.68	0.83	9.05	4.87	8.17	5.19
NM_145576	6.62	3.42	4.8	5.34	3.88	0.66	5.88	5.44	6.54	7.37
NM_207140	8.27	7.64	2.58	1.86	7.44	1.46	2.31	4.03	4.27	4.17
NM_009032	8.51	7.73	8.96	8.72	2.97	3.85	8.19	2.24	6.28	9.33
NM_198610	9.95	8.88	9.14	0.61	9.61	0.69	7.66	8.17	5.64	0.62
NM_033612	3.69	1.11	5	4.55	8.18	9.93	9.99	3.01	5.42	7.71
NM_007552	4.71	0.62	0.28	4.29	5.89	7.38	0.11	7.58	2.91	4.82
XM_891780	8.05	9.47	3.82	3.11	2.62	0.36	7.44	8.08	6.16	9.13
XM_001477562	3.94	2.49	9.38	2.1	3.63	1.25	4.86	5.75	2.25	1.65
XM_001477547	7.13	6.17	9.63	9.33	9.97	5.39	5.06	6.01	6.42	0.08
XM_001477531	6.42	5.87	1.57	6.45	2.03	3.69	7.37	8.03	6.77	2.99
NM_021551	3.23	1.93	8.2	7.49	1.55	6	0.05	1.17	1.13	5.42
XM_001477512	2.49	7.97	4.42	9.43	8.4	5.2	4.94	1.28	8.06	6.88
NM_183137	1.32	6.15	7	0.05	2.79	0.23	2.17	3.47	2.55	7.37
NM_153590	9.53	2.5	3.65	2.15	9.04	5.23	3.32	5.8	6.56	9.99
NM_023117	0.56	7.88	5.57	4.59	0.09	7.34	2.17	0.18	6.29	0.35
NM_026624	8.66	5.98	8.47	6.78	0.05	9.33	6.89	0.64	5.1	7.18
NM_010128	4.78	0.16	5.22	1.75	6.25	5.78	3.87	6.12	8.62	3.4
NM_010375	3.41	5.14	6.28	7.03	3.06	9.15	6.93	8.07	7.56	6.59
NM_010363	7.05	1.13	8.54	5.55	6.87	7.02	6.66	5.13	5.45	6.84
XM_001477798	7.47	1.26	8.43	7.16	8.82	4.74	5.29	1.65	6.17	4.6
NM_172371	2.65	6.63	2.08	5.41	3.36	1.42	4.34	4.28	5.76	8.98
XM_001479652	8.39	5.85	3.83	2.46	5.88	9.53	7.94	5.55	5.48	4.12
NM_183222	7.39	3.96	1.5	4.82	0.94	5.48	4.3	4.52	9.26	3.73
NM_018800	7.68	9.49	5.06	3.86	5	6	6.52	4.29	2.28	5.06
NM_013483	5.23	1.64	5.17	9.11	8.93	0.4	9.41	3.06	1.71	0.26
NM_146208	8.66	1.4	8.25	6.07	4.1	1.71	4.9	3.43	8.9	8.65
NM_011609	9.01	1.54	0.2	3.18	6.98	6.44	6.99	0.52	6.59	7.11
NM_145383	6.94	4.91	0.11	3.99	9.56	1.09	0.95	3.07	7.7	1.59
NM_011139	0.41	6.12	4.86	9.92	7.79	0.62	1.99	6.67	2.63	1.87
NM_172473	7.83	7.93	0.46	7.55	0.63	4.15	6.95	6.18	3.02	9.4
NM_133840	4.48	4.79	9.13	8.99	5.24	1.92	10	7.94	5.87	6.77
NM_146354	7.03	9.54	9.66	5.26	1.67	1.28	7.88	2.11	9.17	9.25
NM_027259	6.11	5.58	3.04	9.41	8.07	5.61	9.27	0.21	7.28	3.57
XM_917709	2.99	2.52	8.09	7.71	8.21	5.77	8.19	0.17	2.14	6.1
NM_008320	6.98	8.42	8.8	5.87	1.28	1.96	5.53	0.28	4.81	9.87
NM_027101	9.79	6.69	8.04	3.95	6.25	5.54	9.25	3.22	2.7	1.28
XM_484890	7.69	3.13	8.37	1.99	4.11	3.15	8.29	7.75	5.05	0.92
NM_013795	5.03	7.89	2.62	8.97	3.9	2.32	2.97	8.36	0.98	9
NM_031254	3.73	9.17	7.42	6.05	9.88	6.79	4.11	8.97	4.95	2.93
NM_011715	4.83	9.3	7.99	1.32	4.07	8.54	3.35	3.76	1.47	1
NM_001085348	1.45	3.76	4.19	5.42	5.93	6.01	0.34	6.39	7.74	1.98
NM_027230	6.96	1.1	5.62	3.54	1.43	2.78	4.17	0.14	6.08	8.35
NM_001045532	7.31	7.27	2.42	0.75	2.47	3.74	8.29	5.04	9.53	7.88
NM_008393	2.77	9.91	1.19	5.47	8.72	6.25	2.51	9.86	0.29	9.35
NM_028079	6.5	3.6	9.27	5.69	0.47	8.02	7.49	5.94	2.64	8.34
XM_001480577	7.87	5.15	7.99	5.34	2.56	1.08	0.46	5.22	5.82	8.23
NM_010747	1.43	5.89	9.66	2.25	8.77	5.58	9.39	0.5	5.39	6.53
NM_026327	1.28	3.76	4.49	7.44	6.72	3.8	1.36	2.06	1.26	1.73
NM_053242	1.27	0.29	4.27	2.38	5.63	0.22	7.38	3.29	3.38	4.82
NM_178113	8.49	7.03	8.2	7.81	5.64	2.6	6.06	5.63	0.85	3.37
NM_146720	8.75	5.02	2.92	4.6	5.54	8.54	6.65	3.71	7.43	6.33
XM_130220	3.92	6.92	6.34	7.78	8.99	1.64	1.72	7.57	9.13	3.79
NM_031174	6.88	2.88	2.03	0.26	1.52	2.13	4	1.18	6.33	7.49
NM_138590	6.15	8.99	4.42	9.42	6.47	4.02	0.95	8.23	6.69	0.06
XM_127913	1.6	6.42	1.41	1.64	3.98	7.64	8.24	1.85	1.42	8.86
NM_027002	2.11	4.52	7.2	9.37	0.44	2.53	3.41	4.25	8.04	7.74
NM_008228	4.81	0.38	2.67	5.49	0.57	5.73	5.85	1.66	5.59	8.71
NM_026565	0.61	7.96	1.6	4.82	0.96	4.08	5.23	2.38	8.01	5.97
NM_025571	9.05	9.43	7.31	3.37	0	3.62	4.36	7.31	5.74	9.33
NM_023680	5.22	6.5	7.53	5.41	8.35	6.35	7.85	8.33	8.22	0.59
NM_026738	8.45	5.89	2.07	2.36	1.59	8.23	2.18	8.56	1.03	5.37
NM_008574	3.53	4.21	6.44	2.36	5.24	5.54	4.36	5.25	1.6	6.11
NM_007752	2.25	6.04	7.19	0.67	0.02	7.62	5.72	0.43	7.39	9.84
NM_011705	4.55	1.47	5.1	1.77	9.66	3.84	1.44	8.77	8.31	8.93
XM_894113	6.52	6.73	4.53	0.07	3.45	1.31	2.55	5.42	3.75	2.21
NM_011278	9.23	4.46	5.99	6.54	1.29	9.59	1.26	0.71	2.2	9.7
NM_019831	4.34	8.15	3.15	5.73	5.92	9.38	0.69	1.99	1.01	0.21
NM_009997	4.21	9.86	2.9	2.06	7.56	4.46	0.84	3.17	8.8	3.12
NM_198628	4.26	2.36	8.61	5.52	5.19	1.91	4.23	9.07	3.18	8.7
NM_001039053	8.08	7.32	0.57	1.78	5.8	6.17	4.81	0.95	5.96	3.13
NM_001039052	9.04	9.16	0.89	3.38	1.63	3	4.19	6.94	0.26	4.12
NM_001039051	5.71	6.12	2.8	0.94	1.12	7.92	4.57	5.46	0.92	0.68
NM_001039050	5.04	8.43	6.19	5.31	7.23	8.95	8.97	1.1	2.04	1.48
NM_008873	6.35	6.43	3.31	4.13	4.1	6.74	2.48	1.98	9.79	2
XM_001471532	8.49	6.03	3.99	6.41	9.84	4.17	7.08	5.32	1.21	0.02
NM_153124	1.54	2.03	5.46	1	7.71	6.97	6.46	7.03	4.68	9.82
XM_001003926	4.22	1.58	1.29	9.48	6.66	7.82	2.93	7.19	5.61	0.23
NM_054068	9.92	1.92	3.65	8.66	8.62	9.75	6.47	5.82	6.6	6.55
NM_012040	2.82	5.79	9.95	8.44	4.42	0.76	7.82	9.09	5.94	1.55
XM_918384	5.5	1.88	5.56	1.85	2.29	8.04	0.31	0.48	8.99	5.04
NM_023229	8.41	8.95	1.85	6.47	4.26	2.35	2.53	1.45	7.45	9.92
NM_146295	1.57	0.82	2.87	3.04	9.96	9.31	4.47	2.8	3.37	7.88
NM_011682	9.42	8.8	1.9	9.64	1.28	9.68	2.04	8.05	8.12	8.84
NM_001110309	5.29	1.82	3.88	6.73	5.77	4.47	6.53	2.63	3.78	7.41
NM_146695	7.72	9.8	7.29	2.47	6.43	3.33	5.42	1.03	0.07	7.95
XM_991257	1.02	5.22	3.31	1.28	5.26	7.32	0.28	9.9	9.54	7.7
NM_027665	7.4	6.34	1.07	6.11	6.22	7	9.93	6.87	1.81	5.15
NM_009559	2.53	0.18	9.97	7.96	7	9.06	1.27	2.7	5.65	6.66
NM_019471	1.63	3.17	4.91	6.1	6.22	1.41	5.5	2.28	7.55	3.66
NM_007514	6.45	5.77	8.38	9.47	6.22	0.62	4.29	4.19	7.55	4.49
NM_011475	7.75	6.69	7.5	3.37	5.36	5.41	9.12	1.02	3.87	7.24
NM_021293	0.08	9.06	6.98	8.46	7.81	9.64	7.68	0.84	8.58	9.03
NM_172751	9.98	9.98	4.82	1.83	1.46	6.16	8.65	9.43	9.15	0.59
NM_177136	0	2.73	4.69	4.04	5.38	3.04	4.84	1.45	1.26	7.08
NM_008973	4.63	0.53	2.08	0.23	7.48	3.48	9.12	9.6	6.89	7.97
NM_026748	6.51	6.71	9.35	1.9	4.91	7.47	1.19	4.86	2.9	2.8
NM_027689	9.23	7.19	0.69	0.58	6.67	2.63	6.09	2.16	3.46	6.78
NM_010446	8.97	8.68	5.23	5.96	3.4	2.86	9.81	1.59	7.9	8.17
NM_146413	0.72	6.58	2.24	3.96	2.47	1.93	2.03	8.03	1.7	5.92
NM_028711	3.49	9.55	9.3	6.1	1.86	4.54	0.32	1.23	6.64	5.48
NM_019749	7.05	6.01	5.79	7.74	9.2	9.03	4.62	2.55	3.86	1.31
NM_030201	9.76	5.73	3.13	7.34	4.1	4.93	6.22	4.97	1.96	0.04
NM_010630	9.21	5.66	2.1	7.04	2.99	2.46	4.89	6.68	7.55	6.16
NM_021434	2.09	4.44	1.98	3.05	6.43	7.98	3.59	3.64	5.9	2.79
XM_128564	6.11	2.16	6.44	1.47	8.2	1.66	8.7	6.94	1.75	2.04
NM_001045864	7.69	1.69	6.1	3.45	2.83	6.63	1.97	2	8.76	6.18
NM_001045863	3.63	6.47	7.44	4.06	4.14	4.94	0.06	0.67	0.58	2.61
NM_027399	0.34	3.75	7.73	0.95	4.87	9.48	1.63	4.14	7.37	2.26
NM_010753	7.62	3.61	9.75	2.11	1.45	6.38	8.44	7.82	5.37	2.73
NM_009259	6.44	2.26	7.39	2.5	8.56	5.71	7.87	9.76	6.52	4.16
NM_009456	5.84	5.63	3.29	2.8	7.16	7.52	1.95	4.62	6.36	7.31
NM_153679	6.02	2.56	1.59	8.58	5.7	8.73	0.97	9.26	2.82	2.66
NM_146492	8.01	3.08	0.26	5.54	8.52	5.02	2.34	2.57	9.9	2.05
NM_029100	5.25	4.43	5.19	2.44	8.44	7.21	3.98	2.67	4.48	6.15
NM_199196	1.31	4.38	5.47	5.32	1.48	3.2	7.49	1.89	6.59	0.07
NM_013541	5.73	2.88	7.55	8.01	4.95	8.35	7.76	3.6	9.96	9.99
NM_029097	6.28	9.65	8.5	3.72	3.7	4.53	4.26	2.58	4.02	3.84
NM_023126	8.71	0.72	6.54	1.42	7.69	0.2	7.43	8.76	8.41	5.22
NM_011407	8.26	3.07	7.52	5.96	1.95	7.41	9.02	6.3	5.62	6.65
NM_009526	7.91	2.82	3.42	9.82	9.92	5.94	9.76	4.86	1.58	7.51
NM_177587	5.17	6.48	4.92	0.89	3.91	0.82	1.72	2.95	5.96	9.71
NM_019468	6.01	9.75	5.02	9.33	7.31	2.82	8.14	7.32	9.49	3.9
NM_007919	7.99	1.88	0.39	8.28	7.73	5.57	7.43	5.7	0.16	6.54
NM_133247	5.15	6.47	9.75	2.72	5.37	6.97	0.37	2.38	5.11	0.3
NM_147002	6.01	2.48	9.72	3.37	2.69	5.86	2.98	8.77	0.75	0.97
NM_001025618	2.62	2.41	2.47	8.51	5.21	9.06	6.55	5.3	7.05	4.5
NM_001025617	1.65	3.18	9.09	4.62	0.28	4.44	1.56	7.24	8.01	3.1
NM_177898	5.24	9.67	0.4	3.96	9.36	8.49	9.07	0.93	4.21	7.76
NM_008982	1.6	1.1	7.7	4.47	8.61	1.92	6.36	6.89	4.95	2.68
NM_172015	2.37	9.75	1.34	8.58	2.75	6.37	3.59	5.27	9.71	9.02
NM_175662	8.73	9.22	9.7	0.05	1.22	3.03	9.39	2.16	0.84	3.23
NM_033320	8.65	7.1	3.49	2.21	7.81	0.95	0.98	9.44	8.81	3.99
NM_029568	2.13	5.49	4.47	5.91	6.85	1.29	9.82	0.24	1.67	9.06
NM_033562	7.94	4.88	1.81	7.09	4.21	5.49	4.28	8.85	8.4	9.39
NM_009323	0.74	1.54	5.47	5.27	4.24	8.92	4.58	3.08	4.71	6.78
NM_001037810	8.25	7.65	0.91	7.38	5.05	2.96	8.52	7.18	3.43	1.09
NM_172521	5.63	6.57	7.9	0.54	7.04	2.12	6.25	0.85	7.16	5.57
NM_009149	4.36	8.01	2.91	9.32	8.37	3.87	4.63	3.75	5.3	9.39
NM_011552	8.59	1.4	8.65	8.33	9.92	2.44	0.15	1.31	0.8	3.36
NM_001081110	3.25	0.18	7.65	2.65	8.48	8.5	4.69	8.66	2.53	8.3
NM_011837	0.81	0.27	0.31	1.83	6.93	9.58	2.51	3.52	1.82	3.56
NM_001034168	4.42	7.03	1.94	1.14	7.08	9.96	2.09	5.93	7.15	0.66
NM_013580	9.27	2.73	9.24	1.23	4.19	7.23	5.66	7.93	5.35	0.96
NM_010433	8.82	3.35	0.57	7.37	5.45	4.59	4.85	6.09	1.72	5.6
NM_021880	9.68	1.46	7.13	3.58	5.51	7.17	6.08	8.6	1.64	6.81
NM_008974	0.59	7.11	4.71	6.55	5.67	0.43	3.15	9.82	1.94	1.02
NM_138756	4.55	6.23	8.12	5.38	0.41	2.94	2.6	9.69	1.68	5.6
NM_028771	5.95	1.11	5.64	7.3	9.21	1.7	0.33	1.18	5.66	0.65
NM_175495	9.3	7.83	1.25	7.97	3.36	0.63	0.58	8.58	0.35	6.24
NM_144829	2.8	9.3	5.64	1.34	2.36	0.35	1.63	5.99	7.3	2.25
NM_172466	3.86	3.92	9.05	7.12	9.13	7.64	0.09	6.04	7.23	8.16
NM_172633	4.47	4.31	6.17	8.87	7.27	1.44	2.3	1.53	6.3	5.95
NM_001083808	8.81	9.05	0.66	0.68	9.67	3.18	9.77	3.3	6.79	6.14
NM_001083807	1.85	5.81	9.44	5.39	6.87	3.21	7.53	1.73	7.39	4.7
NM_001024618	9.62	0.78	5.92	1.59	2.63	8.42	2.66	3.92	1.42	6.25
NM_001004156	4.81	1.53	0.38	4.05	2.36	9.04	2.74	2.08	7.54	7.12
NM_008384	4.48	8.22	1.92	3.9	2.08	2.27	4.08	7.03	4.44	9.2
NM_175682	1.27	3.96	5.01	6.21	2.91	2.86	4.22	1.16	9.43	9.35
NM_146887	0.05	1.2	0.78	8.01	1.72	7.53	1.81	3.01	1.75	4.87
NM_020271	6.07	9.31	9.62	8.38	0.69	4.18	0.44	3.93	9.38	1.88
NM_183321	3.65	3.71	6.35	4.78	5.66	9.23	7.81	6.43	9.14	8.37
NM_027491	8.79	0.41	0.48	8.06	2.94	0.56	1.2	5.17	2.59	8.11
NM_145540	4.72	6.42	3.11	0.59	8.49	5.13	1.42	3.36	8.19	5.87
NM_172725	5.78	9.2	0.82	0.7	2.51	0.52	7.63	6.66	0.82	7.42
NM_009717	6.73	5.29	2.29	5.15	7.15	6.05	5.49	4.02	0.98	7.5
NM_001040403	5.46	7.96	8.59	5.85	2.73	4.05	6	6.44	2.91	2.65
NM_008989	4.03	6.86	1.73	8.08	7.56	3.48	6.14	3.84	4.24	8.52
NM_008143	2.36	1.86	0.19	5.69	4.19	8.17	1.74	4.86	8.15	3.06
NM_001001892	9.82	5.97	1.5	5.18	1.11	7.92	0.63	0.2	8.2	2.04
NM_153540	2.62	8.26	0.38	6.41	7.48	5.91	6.29	5.15	5.04	1.88
XM_133876	5.61	2.04	7.84	8.34	2.68	6.67	6.43	3.53	0.67	1.37
NM_027454	0.63	6.24	1.81	7	8.04	7.5	3.14	3.71	0.02	5.6
NM_173071	7.04	5.29	2.32	7.55	4.56	5.88	8.38	1.08	2.2	2.54
NM_146078	4.89	4.78	7.08	9.58	6.86	3.9	2.09	1.46	6.02	2.32
XM_147850	9.44	9.59	2.37	4.37	3.49	2.09	7.98	9.8	1.74	1.2
XM_903665	6.71	6.75	9.45	1.13	0.07	3.04	4.46	9.69	3.83	9.35
NM_010569	5.47	1.89	1.79	6.13	2.53	4.32	5.24	1.27	7.96	3.35
NM_175268	3.99	5.83	0.49	9.75	3.9	5.04	0.59	9.49	3.42	6.8
NM_146083	2.67	7.85	5.09	8.43	9.29	4.74	4.79	0.87	9.49	10
NM_146721	4.78	9.72	3.04	4.1	5.89	4.95	5.82	9.86	8.31	9.59
NM_134179	6.79	5.12	6.13	1.09	6.26	5.39	2.21	5.47	0.73	9.05
NM_009242	6.53	1.78	4.14	5.55	8.42	2.38	4.88	6.9	6.73	8.16
NM_028109	9.24	4.03	9.21	2.97	3.15	6.39	8.11	1.39	4.61	5.54
NM_133442	5.6	4.17	6.79	1.77	5.93	8.57	1.98	8.78	7.52	5.19
NM_025963	8.38	7.58	3.58	0.94	5.28	5.59	2.41	8.64	4.12	2.85
NM_009991	8.86	4.81	5.13	4.55	5.79	4.81	0.77	5.31	6.03	1.79
XM_355934	0.41	5.7	7.17	5.82	8.3	7.61	4.72	0.85	5.06	2.31
NM_030080	2.86	5.8	5.5	4.84	7.36	7.86	6.49	5.67	8.55	2.05
XM_355743	0.13	8.77	0.14	0.76	8.7	7.67	5	6.46	5.46	1.14
NM_016692	0.47	6.9	7.95	3.82	0.02	5.13	6.53	3.86	6.81	7.18
NM_013930	8.93	5.11	5.12	3.22	8.05	2.04	6.93	9.6	7.94	3.93
NM_175419	3.78	2.49	6.49	5.54	4.36	6.89	2.81	2.89	4.6	9.51
NM_146778	9.25	7.32	8.43	1.89	2.96	5.69	7.74	9.03	9.4	5.29
NM_008080	3.65	1.53	8.23	3.81	6.54	7.17	8.35	2.96	6.13	9.8
NM_001042768	9.56	1.69	7.31	6.24	6.87	7.41	0.44	9.55	5.42	6.93
NM_001042767	5.98	2.61	0.72	7.04	0.11	1.73	3.22	3.05	0.38	2.79
NM_025828	9.11	9.49	6.82	9.66	9.27	1.22	4.35	9.4	9.03	2.44
NM_025422	3.59	8.54	9.05	4.32	4.43	0.89	6.58	3.39	9.66	5.45
NM_026670	8.34	4.47	0.92	2.73	4.3	9.9	4.96	7.91	8.53	5.85
NM_009875	8.93	5.46	8.32	4.84	0.38	9.15	4.98	9.6	7.24	4.48
NM_133763	6.21	6.8	9.43	0.73	1.91	6.8	2.87	8.54	4.7	7.33
NM_011505	3.95	6.51	8.76	1.08	6.98	6.57	1.39	1.44	9.2	7.22
NM_013548	9.56	1.7	0.13	1.84	8.42	6.65	8.12	3.31	7.26	0.08
NM_013669	3.25	2.09	1.75	8.28	6.47	2.68	1.26	9.62	6.9	9.86
XM_924570	8.83	1.29	5.84	0.66	3.84	0.47	3.48	2.9	5.22	9.54
NM_009544	9	1.29	2.5	6.21	1.91	8.74	6.11	3.11	9	1.28
NM_013918	9.96	8.83	1.2	9.41	6.54	5.72	5.72	9.31	0.73	9.21
NM_183146	4.31	3.18	7.63	6.79	6.37	4.79	8.72	4.17	3.18	2.89
NM_001033770	2.99	7.11	2.99	5.96	5.81	3.78	6.69	2.6	2.42	8.08
NM_178375	2.63	6.69	6.29	7.84	5.83	0.47	0.51	0.18	0.22	9.21
NM_133761	9.08	2.9	0.67	0.89	2.26	9.74	4.53	4.03	1.49	2.48
NM_028331	9.78	2.24	9.12	7.05	2.07	9.17	8.91	8.08	3.14	7.12
XM_974534	9.15	8.46	0.43	3.39	4.25	2.85	5.4	7.08	6.95	7.37
NM_001083957	8.33	6.93	9.88	3.85	5.41	6.13	2.65	5.42	6.1	8.02
XM_001479528	5.38	6.41	5.91	8.82	8	7.73	0.88	6.85	0.66	2.32
NM_009226	7.54	6.04	4.01	4.32	9.53	8.44	7.81	5.72	1.06	0.22
NM_019883	7.19	1.74	5.01	8.41	1.2	0.94	3.42	0.73	2.12	9.82
NM_146677	5.79	2.11	3.08	4.64	6.3	5.34	5.6	7.71	5.73	4.63
NM_178277	0.4	1.84	9.51	9.17	6.89	6.3	4.29	1.39	9.62	2.27
NM_025807	7.32	0.51	5.15	9.17	9.9	8.61	8.42	7.19	7.58	0.96
NM_173395	6.26	9.01	1.03	8.46	6.32	0.47	2.14	1.57	2.54	1.81
NM_172120	9.33	6.96	4.63	2.39	4.94	8.34	1.22	0.99	7.55	6.2
NM_010559	1.1	3	1.65	4.71	4.26	5.5	1.23	0.08	2.18	0.47
NM_029373	5.51	6.33	9.46	0.35	9.28	6.16	9.87	0.6	1.93	7.1
NM_015823	2.99	8.49	2.86	6.19	1.48	5.51	9.57	3.95	3.68	6
NM_001080797	0.67	4.68	8.96	0.95	1.13	2.92	1.66	9.63	7.6	7.4
NM_001080796	1.49	8.94	0.18	7.39	9.39	7.9	3.1	3.65	2.32	9.89
NM_001080795	2.1	7.98	9.68	5.85	0.75	6.73	3.92	3.35	2.72	8.44
NM_001080794	4.26	3.23	8	5.27	5.56	3.8	8.25	3.02	7.26	2.85
NM_009644	9.82	3.41	1.1	0.12	3.69	7.8	8.06	1.57	0.85	5.74
NM_053269	1.03	3.43	8	0.69	1.12	5.88	8.91	2.95	9.95	2.92
NM_033041	0.47	0.03	7.43	6.01	7.47	0.61	1.12	1.56	1.96	0.18
NM_173398	3.77	9.93	9.85	1.2	0.67	4.37	9.45	3.01	0.05	2.96
XM_001480555	0.59	5.13	8.13	2.53	9.54	2.53	7.03	6.27	7.21	3
NM_007740	3.71	2.11	9.18	4.29	3.94	3.29	2.38	1.18	8.86	0.04
NM_008927	2.6	1.22	5.69	1.85	4.52	4.83	2.93	5.91	5.27	2.5
NM_011807	9.6	6.42	0.63	8.74	1.45	1.27	3.14	9.38	6.2	4.28
NM_001039090	3.67	0.95	0.38	3.7	0.49	9.01	8.1	0.49	9.59	9.26
NM_027782	6.9	4.4	3.32	8.64	0.89	9.62	1.65	0.08	8.45	5.39
NM_019429	2.59	3.54	3.62	4.7	7.26	5.05	9.83	1.99	8.62	2.36
NM_001109661	6.3	7.63	6.67	1.54	6.32	9.48	8.61	0.67	9.81	8.47
NM_177033	5.99	7.29	3.99	9.53	3.15	9.36	6.19	4.12	9.94	7.87
NM_001025597	2.37	5.77	2.75	1.75	9.33	4.21	8.74	0.06	1.77	9.48
NM_146241	5.45	6.1	7.1	4.92	0.57	2.33	4	7.75	6.76	5.84
NM_147042	4.31	4.22	3.87	3.38	8.56	5.49	8.83	9.54	6.03	5.9
NM_146819	7.75	2.19	8.66	0.57	7.33	1.95	9.62	6.92	2.43	1.8
NM_023143	2.99	2.14	1.11	9.25	0.1	0.77	1.81	3.47	7.82	6.06
NM_175641	1.5	5.96	8.88	1.79	9.77	6.43	2.25	0.27	8.16	5.72
NM_010998	3.55	4.3	1.74	5.21	3.63	7.28	5.22	4.62	8.16	6.42
NM_009727	3.39	3.98	0.62	8.42	6.99	7.06	6.1	4.86	7.44	8.33
NM_013657	8.82	6.47	4.04	0.96	9.67	5.03	0.67	7.46	5.74	6.68
NM_029007	9.81	3.31	2.77	3.68	9.95	7.76	7.36	6.19	0.69	8.23
NM_007745	2.72	0.94	5.25	0.81	1.93	5.4	7.32	5.85	4.99	4.53
NM_019705	9.93	9.46	5.68	5.67	3.93	0.54	1.9	7.55	7.92	7.15
NM_172695	5.32	9.64	2.23	4.03	9.22	3.92	7.23	6.8	2.63	5.34
NM_178804	5.7	9.43	8.12	7	3.41	0.91	6.9	9.8	8.67	0.53
NM_001025246	0.59	4.15	4.64	6.62	5.06	3.45	3.56	7.18	5.51	4.55
XM_992523	6.8	8.58	2.41	1.41	8.61	1.81	0.33	0.45	4.95	5.23
NM_007471	7.8	7.41	7.8	2.85	4.16	7.64	0.82	3.15	1.39	8.97
NM_198101	4.85	7.37	2.64	1.9	0.63	7.26	1.81	0.2	2.77	7.4
NM_024480	6.62	1.99	3.51	1.54	2.31	9.61	8.39	2.02	5.8	0.97
NM_008833	8.83	0.84	5.8	3.54	5.28	3.52	9.72	6.1	1.34	1.89
NM_206868	5.32	7.4	0.08	7.9	8.1	7.86	2.93	1.76	4.73	7.58
NM_201641	0.39	1.92	3.36	2.73	2.98	3.98	7.85	5.03	5.85	3.93
NM_001033768	9.43	5.97	3.94	6.07	4.82	6.04	6.75	2.37	8.55	4.89
NM_001007571	9.03	9.51	9.26	2.19	2.05	1.15	5.31	2.95	3.59	7.62
XM_887149	2.99	3.13	9.05	4.59	7.5	8.82	0.78	0.94	1.12	6.43
NM_146345	9.02	2.4	4.57	4.8	6.27	7.31	9.89	1.75	4.75	9.17
NM_013723	2.7	0.46	9.64	5.89	2.53	0.16	3.41	3.44	3.17	6.87
NM_001024489	9.89	7.53	2.38	3.23	8.39	8.44	2.43	1.03	9.57	1.82
NM_001025192	1.61	5.93	8.2	9.5	3.53	2.36	9.72	3.74	3.37	1.53
NM_008084	9	8.09	6.31	7.43	8.85	9.64	2.02	4.11	2.99	5.34
XM_975674	5.88	4.82	6.37	2.75	1.54	7.8	8.62	5.15	9.5	9.69
NM_028260	3.98	1.71	0.94	1.25	2.86	6.57	8.46	3.8	5.14	1.01
NM_020028	4.45	4.19	3.41	2.35	9.42	1.97	6.02	1.86	9.75	1.18
NM_017376	0.19	9.04	0.24	6.13	0.1	3.28	7.45	4.69	5.54	5.59
NM_008013	1.73	3.89	9.6	1.82	0.19	8.52	8.08	0.72	7.57	2.81
NM_001039546	7.43	6.33	4.52	1.6	9.51	2.74	7.83	5.33	7.57	7.24
NM_026360	1.69	4.99	9.12	7.92	9.87	9.71	9.7	4.96	3.69	1.3
NM_023585	5.28	8.19	1.34	7.03	3.82	5.8	3.3	5.34	5.73	9.23
NM_177386	0.82	0.31	5.14	0.02	6.51	9.8	3.93	0.19	5.01	5.56
XM_001478118	0.52	1.46	3.16	8.88	9.54	4.74	0.38	2.42	9.43	7.98
NM_173757	5.08	1.5	4.11	0.7	3.77	3.56	0.66	1.54	6.42	7.47
NM_026180	3.54	1.26	0.4	0.83	8.44	5.2	1.26	6.04	0	0.1
NM_025959	0.45	0.92	8.84	4.55	3.47	5.28	2.27	9.97	7.34	5.13
NM_020615	0.4	1.15	6.34	4.73	2.99	7.47	7.9	8.34	9.05	2.8
NM_144821	9.24	0.69	8.51	7.83	1.85	6.11	8.16	5.83	8.68	0.63
NM_001011874	1.04	5.07	3.48	1.17	8.53	8.73	5.84	7.15	2.85	9.68
NM_178599	7.2	9.73	8.75	6.14	1.6	9.29	8.23	8.79	4	8.03
NM_010281	7.04	8.09	6.31	0.68	6.01	3.74	8.97	8.98	0.07	9.6
NM_145353	5.89	2.44	6.13	3.07	9.16	5.99	7.64	7.35	5.62	7.08
