RefSeq	Patient 1	Patient 2	Patient 3	Patient 4	Patient 5	Patient 6	Patient 7	Patient 8	Patient 9	Patient 10
NM_145023	4.32	8.65	4.36	8.25	8.8	8.7	8.95	4.34	5.13	6.57
NM_145268	4.89	5.7	2.62	7.25	8.55	4.42	9.08	3.9	6.2	2.36
NM_021818	3.17	7.37	5.16	5.21	4.27	2.83	4.36	2.91	2.21	1.9
NM_005250	6.51	3.07	7.39	6.54	6.27	8.46	1.23	4.77	6.47	0.61
NM_201440	6.66	6.22	3.86	3.73	3.51	7.19	4.12	5.95	6.93	2.65
NM_201439	6.32	8.29	2.16	7.42	3.03	5.03	2.22	9.1	5.98	2.56
NM_201438	0.18	4.73	8.08	8.5	9.06	1	0.22	0.1	4.82	0.52
NM_004244	3.45	8.02	7.76	4.03	9.51	0.19	2.69	3.2	1.22	3.77
NM_005855	4.02	1.45	8.03	8.06	2.88	4.64	10	8.42	3.97	0.79
NM_001010860	8.81	3.55	9.21	7.05	0.44	1.54	4.76	4.13	1.76	6.24
NM_001048212	1.38	2.14	7.89	1.96	6.17	2.39	2.57	2.76	3.47	6.33
NM_014766	5.94	1.95	6.85	4.02	9.16	3.41	8.43	3.89	6.44	4.4
NM_005326	5.16	5.27	8.63	3.7	5.01	3.31	8.25	9.79	0.16	7.34
NM_001080488	5.73	9.4	9.88	1.54	1.68	9.72	8.44	7.3	6.99	6.59
NM_004955	6.76	3.04	2.02	9.55	4.58	1.61	3.18	0.64	9.62	7.19
NM_138368	5.76	5.48	0.87	7.35	0.6	2.63	8.53	5.29	3.25	7.46
NM_016046	0.51	9.73	9.31	5.48	6.1	4.5	3.33	7.07	2.95	8.01
NM_032966	8.94	8.75	6.76	6.11	1.2	8.44	9.92	1.7	8.48	7.17
NM_012266	7.86	1.54	4.57	0.51	0.09	5.15	3.84	4.92	7.96	0.01
NM_181670	2.3	5.17	6.67	0.54	6.96	9.44	7.63	6.12	7.1	7.8
NM_001768	9.08	10	5.77	8.41	9.25	6.74	8.12	3.81	8.28	4.35
NM_005346	9.94	9.36	0.23	3.25	7.24	4.53	5.44	5.77	7.88	3.64
NM_005345	9.14	9.43	8.03	9.82	6.12	5.51	5.61	7.77	6.34	1.38
NM_057092	8.09	2.85	2.79	2.51	7.63	8.95	3.85	6.89	6.5	0.99
NM_004568	0.75	8.72	7.98	1.19	6.08	7.35	8.96	5.22	4.1	7.3
NM_001013005	1.61	5.52	6.57	1.43	7.64	1.46	2.61	8.81	1.46	9.76
NM_001013002	3.27	7.84	9.44	7.24	3.48	9.46	3.47	2.33	4.01	9.5
NM_001013000	3.75	1.55	7.69	6.44	7.44	0.77	8.84	5.45	0.42	4.57
NM_001080830	1.43	4.16	6.97	4.57	1.52	2.1	3.15	8.32	9.77	7.9
NM_000187	9.58	0.7	0.39	0.84	0.15	3.98	0.7	1.57	2.66	3.5
NM_004156	1.13	5.76	7.7	5.09	1.22	9.67	2.82	7.44	0.47	3.84
NM_000675	5.75	2.81	1.32	2.82	0.32	0.8	2.1	2.67	4.9	4.47
NM_018936	4.46	6.4	3.01	8.09	8.69	8.39	9.77	5.47	8.86	5.86
NM_206940	4.3	3.14	2.87	0.29	5.49	2.5	7.18	0.35	2.69	5.75
XM_001131281	2.26	5.88	8.71	9.35	6.58	9.26	3.33	7.44	1.37	5.08
NM_206939	1.13	2.63	6.87	1.82	2.2	5.58	3.9	1.41	5.79	8.51
NM_206938	0.62	1.43	5.03	7.71	8.51	7.53	9.4	9.45	8.67	8.31
XM_001131269	2.44	0.61	6.8	7.85	5.65	0.26	3.55	7.54	6.19	5.6
NM_000552	4.58	0.65	4.63	5.85	1.71	5.78	6.58	4.61	7.01	2.28
NM_018122	4.64	2.88	3.05	5.77	1.39	2.17	9.4	7.88	2.64	9.1
NM_004600	1.25	4.16	6.01	4.9	6.09	1.8	8.3	1.67	7.96	1.84
NM_000211	5.96	2.79	2.52	7.81	7.88	8.17	9.16	7.37	0.48	8.61
NM_004922	0.58	4.82	9.9	9.8	0.55	5.58	7.83	1.76	9.08	3.5
NM_020672	6.4	9.43	4.64	8.6	1.1	5.11	6.55	1.46	8.12	9.18
NM_013444	1.69	2.19	2.39	9.36	9.56	7.89	7.6	4.67	7.47	5.2
NM_006481	7.34	7.86	1.92	9.34	5.13	7.19	1.01	2.4	8.7	0.69
NM_199187	2.17	4.91	5.51	5.95	1.7	7.74	5.08	6.74	1.37	6.64
NM_005278	2.2	1.92	1.71	4.83	5.66	2.39	0.92	1.74	0.43	3.21
NM_020732	6.28	6.61	8.68	5.45	6.33	5.64	0.92	4.1	7.18	7.87
NM_006819	0.03	6.45	0.08	6.47	1.79	2.89	8.92	1.66	9.32	6.65
NM_024077	4.5	7.09	8.37	5.38	2.62	1.83	8.56	7.86	7.53	1.01
NM_001007224	5.36	6.61	4.45	3.86	5.59	2.38	9.04	7.91	5.46	2.21
NM_031480	9.97	5.81	0.31	9.72	9.03	7.41	4.37	7.43	7.2	0.29
NM_014181	3.65	6.52	6.4	5.19	8.75	7.34	4.17	5.63	3.87	2.39
NM_153022	3.44	9.47	7.24	6.37	3.22	1.33	2.9	4.8	1.96	3.2
NM_001009554	0.72	4.53	8.29	0.91	5.11	4.76	3.33	2.65	1.3	7.58
NM_015104	5.26	2.04	2.97	6.62	6.39	8.8	6.77	4.44	5.33	2.15
NM_032507	6.72	7.3	6.68	3.61	6.7	0.79	6.37	7.13	5.97	2.7
NM_006280	4.47	6.09	5.98	7.35	2.55	5.52	2.17	8.09	1.73	2.15
NM_014511	6.69	6.2	9.94	1.19	7.91	0.91	9.92	2.76	5.09	0.04
NM_001080545	6.29	8	7.07	4.45	6.85	4.77	7.07	8.7	8.63	6.2
NM_022044	5.61	1.85	3.69	2.44	3.77	5.19	4.99	5.53	2.2	6
NM_002196	2.44	9.02	1.26	4.01	8.23	1.71	2.02	5.43	10	4.51
NM_012236	0.76	4.41	0.08	2.54	5.54	3.17	6.84	4.16	7.49	2.06
XM_942179	9.9	4.99	6.55	2.73	9.25	7.69	2.17	5.88	4.89	1.74
NM_025256	4.71	4.9	9.98	3.37	4.81	0.97	5.35	2.87	1.37	9.59
NM_148911	1.89	7.03	6.95	4.36	7.74	8.75	0.74	5.58	3.28	0.56
NM_013376	0.53	6.42	1.58	0.44	7.77	5.22	1.57	5.34	3.55	0.05
XM_939905	7.15	5.51	6.77	1.22	0.46	1.23	8.89	0.41	7.56	5.19
NM_000620	6.46	7.68	1.58	0.21	9.44	4.53	7.32	0.19	0.28	2.84
NM_007245	5.17	9.29	4.64	6.22	9.16	7.39	0.96	3.21	6.19	9.15
NM_144957	8.4	9.67	2.78	6.12	6.55	3.03	7.2	2.08	5.52	7.03
NM_144956	2.42	0.47	4.09	8.02	7.32	2.7	6.48	7.56	0.77	1.45
XM_942524	5.75	4.12	4.54	6.01	9.71	2.97	8.79	4.98	5.27	2.66
NM_032530	4.8	9.09	7.43	4.72	7.65	8.13	3.75	3.53	3.64	6.21
NM_002098	4.11	2.66	6.49	7.38	6.88	0.59	4.07	2.22	8.24	6.65
NM_012477	3.1	1.98	6.46	5.36	4.83	0.16	9.79	7.38	3.97	3.35
NM_182533	6.97	4	2.94	0.67	9.34	5.87	8.83	0.27	5	2.86
NM_005829	6.31	4.58	8.19	2.21	2.54	2.98	5	3.96	8.67	9.86
NM_145315	9.37	8.6	5.14	0.81	1.16	5.8	0.72	1.48	1.14	1.21
NM_005061	7	0.45	3.02	7.14	1.13	8.76	7.76	1.93	4.33	9.51
NM_001083539	0.82	1.67	6.57	7.59	5.16	4.82	3.55	1.82	6.2	0.87
NM_201559	4.73	5.21	9.6	4.67	6.75	8.17	9.76	9.39	6.6	3.43
NM_003760	6.96	6.26	3.33	6.85	0.16	6.17	2.13	9.36	1.53	9.79
NM_001098537	4.46	8.19	2.97	2.78	3.91	2.15	7.72	7.45	0.07	3.26
NM_015916	8.17	4.67	6.84	1.04	9.97	9.51	2.66	4.19	8.56	6.62
NM_001740	7.68	0.8	1.62	7.77	5.28	0.92	5.45	2	2.83	7.38
NM_005541	9.72	0.22	5.94	9.4	0.3	0.96	4.49	1.89	5.39	5.41
NM_001077203	4.89	1.97	3.51	4.65	6.67	0.3	9.03	1.32	4.53	9.33
NM_006028	2.16	6.88	7.6	5.12	7.83	6.45	7.62	0.1	4.56	9.53
NM_022346	6.41	6.42	5.88	0.59	8.21	1.86	4.41	4.66	0.49	5.45
XM_937610	1.18	9.98	0.58	9.11	3.52	5.07	6.1	0.01	3.16	5.53
NM_000499	7.76	8.73	1.28	7.56	1.6	1.64	2.62	5.63	6.75	5.53
NM_134427	8.85	5.44	7.14	4.6	6.44	3.57	6.43	0.09	0.48	9.96
NM_032427	1.94	4.38	0.66	1.64	9.06	8.24	2.94	4.18	0.65	7.59
NM_003969	7.67	3.72	7.84	0.29	0.85	9.33	4.79	1.51	1.64	7.27
XM_934146	3.56	0.34	7.12	7.97	1.25	4.54	1.78	2.96	1.85	9.55
XM_934143	3.83	1.42	7.61	6	6.8	7	3.68	9.75	3.92	8.15
XM_934141	8.2	0.14	9.42	0.73	8.62	4.55	6.35	6.85	5.2	7.32
XM_941958	0.7	5.85	3.89	9.19	1.71	5.77	0.67	3.36	9.41	4.74
NM_004603	0.29	9.1	9.19	6.21	6.24	1.53	1	9.94	4.21	0.99
NM_002409	3.37	9.43	4.06	6.95	7.78	1.93	7.32	0.06	1.39	6.47
NM_015461	9.1	5.52	6.68	5.3	8.26	8.79	7.87	5.44	4.92	1.77
NM_000188	2.7	9.57	3.28	4.23	3.57	4.23	7.47	7.49	4.97	2.44
NM_001001996	9.12	3.55	8.59	2.96	7.48	4.91	6.11	5.04	6.66	9.13
NM_001001995	3.9	4.61	4.1	0.02	5.9	6.93	1.62	8.97	8.56	7.98
NM_001001994	6.81	2.23	9.77	1.61	0.45	4.82	1.54	9.72	3.21	9.09
NM_001010990	2.22	5.53	5.05	8.32	2.31	5.07	5.9	2.42	0.63	2.47
NM_002566	0.87	8.62	7.04	0.69	5.25	2.8	0.45	9.24	3.56	0.84
NM_014218	3.12	6.82	7.96	3.82	2.99	7.81	6.54	3.68	1.88	8.94
NM_001010989	1.59	4.13	0.19	9.12	3.48	0.86	6.62	3.89	1.77	3.68
NM_005149	7.87	9.07	0.06	7.83	6.38	1.56	8.2	1.17	7.89	0.35
NM_006457	3.94	8.49	4.53	1.41	8.16	2.62	0.09	5.5	8.08	9.81
NM_153379	6.32	9.33	9.79	3.79	0.22	9.04	6.38	3.28	8.37	7.11
NM_001014286	4.83	5.33	3.38	4.68	6.54	7.72	0.33	0.53	9.42	0.14
NM_000103	8.4	6.67	7.5	4.19	2.07	4.77	7.81	2.96	8.15	3.07
NM_005892	4.49	4.01	6.63	4.83	0.19	8.55	9.04	7.47	6.93	3.73
NM_176889	2.51	6.13	5	2.45	1.82	8.65	5.78	2.54	2.25	7.52
NM_016603	8.12	6.9	3.45	3.59	2.37	5.73	2.3	4.85	3.54	8.47
NM_003068	9.38	5.98	0.14	9.49	6.86	8.85	8.07	8.79	1.47	3.06
NM_212481	4.67	3.01	2.6	7.56	9.66	5.1	3.41	2.63	6.8	7.05
NM_021168	4.53	3.32	9.33	4.19	0.59	7.59	6.72	9.51	4.02	3.93
NM_199459	0.57	5.96	0.72	8.59	0.38	3.92	4.17	8.8	4.63	8.59
NM_006865	2.43	1.74	3.88	5.12	1.25	6.73	6.02	8.26	3.56	2.58
NM_001771	3.39	8.76	6.47	8.79	7.03	1.16	3.15	9.59	4.51	3.89
NM_003839	2.51	0.34	1.39	0.24	9.44	2.16	7.11	2.98	5.28	6.18
NM_006245	0.1	5.46	1.72	5.41	2.11	6.06	0.81	9.77	5.2	9.85
NM_024991	6.94	9.1	3.59	6.76	8.28	5.7	4.93	2.55	6.36	3.44
NM_198481	6.33	1.76	9	6.24	6.23	9.16	0.78	2.73	9.2	4.33
XM_946246	8.29	5.6	1.13	6.14	0.73	0.61	7.16	6.62	0.39	7.17
NM_013345	7.65	4.95	7.48	5.95	9.99	1.47	5.59	5.92	5.77	8.18
NM_030955	6.62	0.86	8.19	2.45	2.48	0.69	1.78	2.67	3.41	5.32
NM_001098199	1.66	5.03	5.19	3.08	8.51	2.54	4.48	6.68	1.78	3.64
NM_005153	6.75	0.47	4.16	1.25	8.25	0.26	3.46	1.36	0.69	9.95
NM_182500	9.32	0.43	1.47	6.68	6.04	4.92	9.25	0.16	8.39	7.76
NM_020981	0.78	8.58	3.78	6.04	5.99	7.45	0.58	1.72	8.44	2.77
NM_007100	0.65	5.09	8.26	1.27	4.15	7.19	5.07	0.33	9.25	7.94
NM_030767	6.13	2.66	1.24	8.29	6.49	9.74	0.79	9.88	1.6	6.85
NM_024294	2.99	4.11	8.83	4.36	8.3	2.52	6.48	4.14	9.07	5.24
NM_001007279	1.52	3.7	5.3	1.96	9.4	9.99	5.52	9.57	2.81	8.78
NM_004272	9.26	9.48	9.2	2.11	9.48	7.54	7.33	3.55	3.48	5.79
NM_003117	4.58	8.24	9.03	3.48	1.78	3.38	3.1	8.04	0.84	8.92
XM_001131049	9.39	2.77	5.36	9.79	5.78	1.55	3.72	0.74	0.7	9.12
NM_175698	3.19	7.97	3.73	3.52	7.64	0.16	7.43	9.06	1.56	5.6
NM_001076684	0.9	7.57	8.82	7.27	2	2.42	9.48	1.32	9.21	6.03
NM_001076683	4.22	8.1	8.74	4.47	2.32	9.27	4.05	1.28	0.12	9.27
NM_021777	1.59	4.64	1.24	7.71	9.7	4.94	5.24	2.01	9.71	8.67
NM_001109689	5.4	1.58	5.44	2.11	2.19	0.97	8.53	8.78	6.15	9.76
XM_042066	6.73	4.23	3.74	6.92	4.15	7.92	9.83	3.82	2.37	6.79
NM_001775	9.72	1.54	4.68	1.31	2.07	0.67	7.54	6.86	3.25	7.15
XM_001127094	4.78	7.56	5.58	1.6	9.06	9.81	6.6	7.57	7.61	2.82
NM_057177	1.4	7.24	6.34	4.49	3.8	3.02	3.24	6.45	9.17	3.84
XM_001127070	4.25	4.86	4.01	5.5	2.66	8.26	4.26	6.37	7.27	1.07
NM_001024912	5.34	3.51	6.31	0.19	9.43	3.73	0.77	6.37	2.24	1.41
XM_946240	3.84	8.99	0.22	9.61	5.05	9.75	9.26	4.71	2.73	6.42
XM_946239	7.64	3.62	0.48	4.29	9.69	9.42	7.41	5.96	1.78	4.96
NM_152663	7.85	3.85	7.69	0.43	8.87	5.9	7.88	9.35	7.52	7.59
NM_145057	3.94	4.45	1.93	5.01	7.16	5.81	0.07	4.49	7.93	6.26
NM_178034	4.58	2.72	4.07	1.05	7.97	5.12	2.33	8.51	8.13	8.4
NM_032389	4.18	5.61	6.69	6.66	5.1	5.06	8.66	2.07	6.72	1.92
NM_015463	2.23	0.05	3.07	1.15	7.89	6.42	7.23	1.11	8.32	3.43
NM_052949	2.23	7.67	1.55	7	7.95	6.59	7.92	4.43	3.9	6.58
NM_024576	0.8	6.47	4.87	9.11	7.58	5.74	0.44	4.74	0.14	7.24
NM_194327	3.89	5.08	8.26	4.23	6.4	8.97	1.71	7.79	0.1	7.07
NM_015874	8.98	8.14	5.72	8.25	6.2	6.85	1.38	5.78	4.59	6.53
NM_007337	0.12	6.9	6.34	5.79	3.62	0.66	9.69	4.9	8.52	5
NM_007335	4.67	3.66	2.04	0.28	2.38	6.42	2.29	9.51	8.54	9.84
NM_178830	9.63	3.23	3.98	9.52	0.35	4.04	6.46	6.11	3.84	4.46
NM_001003845	6.25	9.56	7.58	4.08	0.11	0.4	0.48	4.78	0.12	1.85
NM_031898	7.66	7.77	0.87	4.63	0.69	8.94	8.78	3.65	7.61	5.07
NM_001005375	1.16	6.93	9.28	1.49	9.75	4.03	1.98	5.68	6.65	3.24
NM_001006658	5.51	9.04	6.79	6.19	9.59	7.94	7.81	8.34	3.6	7.64
NM_201650	2.25	6.01	9.9	8.11	2.46	2.32	1.88	1.69	8.44	4
NM_004292	0.54	9.7	4.64	1.28	5.52	5.58	5.7	6.43	7.36	2.37
XM_940578	8.7	7.01	0.52	9.71	7.22	8.11	5.24	7.39	5.17	3.25
NM_022080	3.15	3.58	8.72	5.39	4.47	4.74	1.37	3	7.66	0.03
NM_002740	4.76	7.8	3.38	5.75	7.84	4.85	9.76	7.7	7.48	1.63
NM_030963	0.29	1.65	1.76	7.43	6.93	3.05	0.47	9.4	4.87	1.92
NM_005857	8.55	5.16	4.16	7.5	6.66	5.71	9.89	1.79	3.8	9.79
NM_001253	1.5	2.03	7.13	2.67	1.99	2.77	9.59	1.52	9.85	8.42
NM_006699	0.01	3.18	6.44	8.74	9	3.71	8.01	6.26	8.12	9.07
NM_001032295	3.32	2.71	9.74	9.09	5.72	5.52	6.49	9.35	1.41	2.61
NM_004236	2.9	9.27	3.47	7.16	5.79	5.79	2.83	7.97	9.02	2.26
NM_012263	4.26	8.05	0.45	4.23	1.66	1.98	2.27	2.63	5.39	0.14
XM_001132097	8.67	6.22	6.05	9.28	5.15	9.26	7.26	5.72	3.65	4.02
NM_001082534	6.74	8.26	3.68	6.76	0.85	5.54	2.09	2.68	1.74	8.67
NM_001082533	1.89	1.67	0.93	8.52	1.35	1.4	9.68	8.59	7.17	5.1
XM_001132082	6.52	0.07	3.74	9.71	4.02	5.15	5.14	5.07	1.18	1.61
NM_003986	0.67	2.71	5.62	1.77	8.01	1.35	2.16	7.17	9.67	4.94
NM_015364	6.48	4.39	5	9.57	9.31	6.52	2.01	7.1	5.3	3.49
NM_024669	0.69	5.68	0.43	6.37	9.12	0.21	3.8	7.14	7.9	3.53
NM_014799	2.9	2.75	8.69	2.92	5.9	7.78	9.4	8.28	7.99	8.37
NM_020365	8.7	2.06	6.56	6.57	7.27	3.11	9.93	1.53	9.2	0.07
NM_001083608	1.49	2.15	5.31	5.48	6.7	5.95	4.23	1.88	8.04	0.76
NM_005833	6.79	7.83	6.94	7.16	2.3	6.75	1.11	6.06	8.09	5.44
NM_002845	7.69	0.2	2.27	4.82	3.47	9.96	1.32	7.31	3.79	6.6
NM_145026	1.61	9.04	1.65	1.27	0.32	6.61	3.92	6.79	6.56	5.76
NM_002777	1.46	1.49	8.98	7.43	4.68	3.16	3.4	5.57	6.64	5.28
NM_019111	7.32	3.43	6.25	4.34	3.82	4	7.77	3.42	7.63	1.06
XM_001133287	7.86	8.61	9.23	5.35	0.43	7.01	4.39	1.57	6.68	7.61
NM_022077	9.12	9.26	9.85	2.07	5.37	2.1	2.18	9.23	4.24	0.35
NM_006409	8.47	0.36	5.54	5.83	3.56	8.03	9.76	9.1	4.28	4.3
NM_015871	3.37	7.64	6.02	1.54	0.01	4.95	2.21	9.91	0.28	5.25
NM_020230	1.37	5.27	9.75	0.18	7.83	4.42	4.06	0.91	2.69	4.35
NM_020682	9.02	0.06	0.18	7.1	9.09	3.61	5.46	5.53	1.64	6.67
NM_006990	2.06	4.65	6.54	1.25	7.24	3.06	7.44	7.3	5.45	8.5
NM_138777	4.52	8.85	8.47	5.57	2.3	9.16	5.43	3.91	0.34	4.37
NM_001039476	3.78	7.86	3.56	2.85	6.93	8.46	5.22	3.23	9.11	8.3
NM_005862	2.36	6.3	8.3	8.68	4.16	6.11	7.91	6.71	0.32	0.42
NM_016506	3.07	4.01	2.63	3.07	8.96	4.87	5.32	5.7	4.14	4.16
NM_001012419	5.28	9.89	0.69	5.52	8.92	1.23	4.81	4.75	8.96	6.72
NM_021871	2.37	9.48	4.74	7.42	3.16	9.82	5.93	2.97	8.44	9.48
NM_001031847	6.39	6.72	2.37	2.16	4.67	0.39	1.81	5.05	5.56	6.77
NM_032656	8.18	9.17	4.15	2.68	4.71	7.02	7.64	2.72	7.98	8.97
NM_019610	6.63	7.53	5.19	1.65	4.82	1.8	8.2	5.6	3.83	9.62
NM_003480	5.06	2.94	8.43	1.44	9.82	9.64	9.07	0.78	9.21	0.79
NM_001039362	4.92	7.42	7.84	9.44	5.56	2.56	9.73	5.4	9.72	7.65
NM_212556	8.52	9.19	6.12	0.17	6.17	3.2	7.87	4.19	0.99	4.72
NM_174961	1.57	3.01	2.17	1.15	3.84	4.79	4.21	5.85	0.39	2.4
NM_019093	5.59	0.13	3.46	1.21	3.56	3.91	1.89	2.57	9.39	2.58
NM_198252	5	3.58	1.12	9.74	5.48	9.72	9.88	1.29	6.29	8.21
NM_033090	2.27	8.69	2.6	7.52	2.96	5	8.01	2.99	8.29	5.93
NM_020384	8.49	2.88	2.14	4.14	9.46	1.69	1.29	0.85	7.39	0.95
XM_937175	3.7	5.64	7.68	6.31	2.75	2.83	9.81	2.82	5.49	8.28
NM_033414	3.76	0.84	7.91	2.99	9.66	0.96	2.24	4.87	6.32	6.69
NM_005554	5.28	0.72	9.09	1.29	1.76	8.44	2.4	6.91	5.48	6.39
NM_001713	1.39	5.85	9.95	1.13	6.22	2.8	1.13	0.13	9.28	4.88
NM_145011	5.37	9.89	9.56	4.26	9.98	7.57	6.15	1.66	2.88	2.46
NM_000955	6.74	2.21	8.07	8.73	6.44	1.6	5.8	2.49	2.12	1.67
NM_002125	8.7	9.28	6.2	5.47	0.03	6.8	8.9	3.55	6.91	5.94
NM_002124	3.23	8.49	8.79	9.61	0.41	4.58	0.55	3.24	9.56	0.07
NM_003673	5.86	1.47	7.92	0.79	1.81	3.7	7.98	1.71	6.36	2.02
XM_001131987	7.18	9.64	1.74	1.3	3.59	4.84	8.66	2.66	1.19	0.25
NM_005316	6.59	6.13	4.82	1.15	0.42	9.54	2.75	3.15	9.84	5.32
NM_005348	7.24	6.74	7.67	0.97	9.64	8.12	2.04	2.63	9.05	6.37
NM_006816	6.19	9.71	1.92	8.4	2.68	8.45	4.12	8.19	2.83	6.92
NM_207418	8.66	0.78	1.36	2.4	7.66	2.6	0.2	0.45	5.28	3.82
NM_001081559	1.76	5.59	6.14	6.54	1.94	7.28	7.46	6.54	9.39	0.74
NM_022156	9.98	7.57	5.48	1.26	9.61	6.91	9.33	1.42	1.94	5.22
XM_290527	1.02	7.08	9.66	1.08	1.82	8.7	8.11	7.16	5.6	4.24
NM_152283	4.82	9.6	8.77	9.61	0.9	2.14	2.78	2.24	3.53	4.9
NM_001037866	5.26	7.46	6.17	6.78	8.53	8.14	4.14	6.17	0.9	1.94
NM_020848	3.38	6.56	4.41	8.5	4.98	8.53	4.04	0.13	4.04	3.73
NM_022350	1.22	6.32	1.15	1.76	5.57	2.53	4.59	7.29	9.09	1.67
NM_020856	3.44	6.63	0.32	9.45	3.24	5.16	1.78	8.89	8.88	0.91
NM_015409	0.01	4.09	9.6	0.15	9.8	0.32	2.24	5.74	7.87	3.35
NM_015718	6.27	9.26	9.57	3.2	5.39	2.17	3.66	8.07	8.3	2.46
NM_015272	8.35	4.06	8.16	8.89	8.79	7.72	1.51	4.3	8.6	8.55
NM_001099854	8.53	3.28	5.73	0.32	5.97	3.52	0.11	9.93	8.86	8.07
NM_005683	7.85	2.27	1.74	4.35	9.24	6.97	7.87	3.91	8.69	4.87
NM_001001706	3.94	4.19	1.62	0.1	2.36	1.63	3.41	6.87	7.99	1.14
NM_002772	3.52	6.86	6.85	0.06	1.46	3.24	9.99	1.22	5.15	6.28
NM_022737	0.12	0.96	4.34	1.86	2.2	1.97	5.88	6.9	6.97	0.8
NM_183079	2.43	7.07	3.76	4.24	1.82	3.32	4.7	7.72	5.37	2.09
NM_024105	7.22	2.5	4.53	6.36	4.21	6.08	9.8	4.04	0.64	4.56
NM_022549	3.88	1.8	2.25	4.86	1.86	2.93	8.12	1.78	3.29	7.49
NM_001102454	7.72	7.79	2.85	5.53	3.58	1.76	7.09	4.64	0.85	8.48
XM_001125997	8.61	8.35	4.48	7.49	0.42	8.87	0.93	4.17	9.93	9.44
NM_032858	9.25	1.69	1.81	9.12	1.84	0.5	4.27	3.44	6.17	9.95
NM_176871	4.46	0	0.92	4.26	0.02	3.36	2.89	7.12	2.97	0.14
NM_152289	7.31	7.63	0.69	2.97	0.45	5.67	9.83	7.73	6.84	5.38
NM_031476	2.47	0.18	0.6	8.73	2.24	5.08	4.82	6.68	5.73	0.02
NM_201414	0.32	1.47	8.84	5.05	1.83	7.06	0.86	8.84	9.33	2.16
NM_201413	4.49	7.28	2.43	4.27	4.05	0.51	8.49	0.39	8.03	5.63
NM_054110	9.07	6.32	5.42	9.88	2.67	4.61	7.57	9.82	5.57	5.34
NM_001039703	7.56	8.22	6.51	6.02	1.48	5.18	2.9	1.46	8.37	8.53
NM_024624	0.68	6.98	4.34	2.67	6.73	8.96	2.61	8.57	0.86	2.54
NM_018183	7.73	7.1	6.78	2.28	0.32	7.21	7.77	0.27	0.85	9.16
NM_152334	9.32	3.81	2.65	2.57	3.42	2.46	0.36	8	7.76	9.27
NM_032123	0.66	4.55	9.82	3.93	6.34	5.87	1.94	10	2.8	7.76
NM_006587	8.74	4.18	6.44	3.36	2.14	5.92	5.88	7.43	6.45	3.4
NM_001079818	4.14	3.41	1.43	2.17	4.32	4.6	3.15	0.24	1.3	4.17
NM_002655	5.91	2.02	5.99	0.7	4.87	4.01	6.09	6.17	3.7	9.7
NM_007355	2.12	0.74	0.85	1.86	7.13	4.44	9.92	7.56	0.5	7.13
XM_712866	5.36	9.73	2.57	3.94	9.89	7.13	7.74	7.53	0.38	5.84
NM_001005353	9.35	8.65	6.32	0.16	8.11	9.16	7.87	5.06	2.58	0.61
NM_003083	2.13	4.82	0.45	2.01	6.93	4.77	2.15	3.3	8.36	0.48
XM_938741	1.63	8.99	2.15	7.14	5.29	9.3	1.4	5.6	8.68	8.31
NM_001006946	7.7	2.71	4.48	9.05	6.9	6.88	9.38	9.36	1.17	9.16
NM_181608	0.66	8.1	6.18	2.32	2.9	8.29	2.26	3.23	7.22	8.55
NM_001105533	9.48	1.26	3.89	1.49	4.52	6.27	9.28	9.51	7.37	3.17
NM_014830	1.65	6.89	6.1	9.16	9.26	8.51	2.79	6.24	9.16	0.3
XM_712800	4.18	4.96	3.03	2.38	4.36	1.53	2.26	4.45	2.37	4.82
NM_003343	9.6	2.23	8.23	3.35	6.72	8.24	5.16	6.42	4.34	3.97
NM_173477	4.08	3.96	9.86	3.4	1.08	1.84	7.48	3.96	4.53	2.38
NM_005923	1.41	7.47	7.56	8.74	8.57	7.6	2.06	8.49	3.01	9.38
NM_022490	3.47	4.03	0.48	8.21	8.58	1.16	3.27	8.19	7.63	1.46
XM_001132853	1.8	1.75	2.71	8.93	4.66	3.6	4.57	8.59	5.39	0.86
NM_001269	0.02	5.82	2.04	6.24	8.99	6.48	2.99	2.66	2.94	8.82
NM_014521	2.72	5.72	2.29	7.34	0.41	1.66	7.54	1.63	3.81	1.41
NM_004389	6.25	1.75	3.63	3.19	4.68	6.96	7.46	5.72	8.36	1.01
NM_138930	7.33	3.45	2.73	9.2	9.44	2.15	2.83	0.39	9.78	4.2
NM_138929	5.19	5.9	2.89	6.07	2.66	6.74	2.36	8.31	9.54	1.43
NM_001912	6.58	3.23	2.47	8.24	6.52	4.02	8.33	4.56	7.68	3.17
NM_078467	1.82	0.73	5.15	3.47	3.49	2.66	1.32	0.77	7.81	9.82
NM_002157	4.26	2.22	8.31	5.95	5.32	1.35	9.93	8.13	5.11	6.77
NM_199436	4.14	1.45	8.98	4.26	8	9.2	1.23	6.02	6.06	1.7
NM_002413	2.5	7.71	9.5	6.14	0.22	1.62	3.93	9.35	8.67	2.37
NM_004068	1.99	9.32	5.09	8.23	5.65	8.56	7.7	8.4	5.96	5.93
NM_012089	3.45	5.26	1.63	6.83	1.42	1.66	1.59	4.03	3.82	0.97
XM_001129809	3.16	2.26	9.32	0.06	6.56	7.49	5.87	9.34	1.47	0.13
XM_452221	0.73	3.5	1.54	1.59	7.79	4.48	3.58	5.83	2.41	9.33
