Gene Name	Common	Genbank	Description
210165	LOC219854	AL833215.1	
131030	SMARCD2	NM_003077.2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
210867	LOC389705		
168773	HOXC9	NM_006897.1	homeo box C9
126527	ITCH	NM_031483.3	itchy homolog E3 ubiquitin protein ligase (mouse)
709930	null	AK000954.1	
129282	AKR1C3	NM_003739.4	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
194861	KIAA1160	NM_020701.1	KIAA1160 protein
130541	PALLD	NM_016081.2	palladin
235538	KRTAP4-7	BX647764.1	
145049	BAIAP2L1	NM_018842.3	insulin receptor tyrosine kinase substrate
192551	THUMPD3	NM_015453.1	THUMP domain containing 3
230122	null		
127024	LOC440001	NM_199229.1	ribulose-5-phosphate-3-epimerase
125079	INT1	NM_015674.1	
128263	SGCB	NM_000232.2	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
133376	ZNF576	NM_024327.1	zinc finger protein 576
145458	ANXA9	NM_003568.1	annexin A9
148924	YPEL3	NM_031477.3	hypothetical protein MGC10500
130834	null		
104009	GABPB2	NM_016654.2	GA binding protein transcription factor, beta subunit 2, 47kDa
222052	CEP57	NM_014679.2	translokin
180538	null		
160985	CLCC1	NM_015127.2	Mid-1-related chloride channel 1
134903	CTBP2	NM_001329.1	C-terminal binding protein 2
129217	ZNF417	AK131243.1	
136526	null	NM_000313.1	protein S (alpha)
126252	C9orf115	AK090922.1	
196765	JOSD1	NM_014876.3	KIAA0063 gene product
192036	FGFR1OP	NM_194429.1	FGFR1 oncogene partner
188646	null		
211759	FRAG1	NM_014489.1	FGF receptor activating protein 1
186504	ARL13B	NM_182896.1	hypothetical protein DKFZp761H079
189066	MICAL3	BC047315.1	
198714	PFKFB3	NM_004566.2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
138018	MAPK1	NM_002745.2	mitogen-activated protein kinase 1
Manufacturing_Test_Control_28			
189870	ORC5L	NM_002553.2	origin recognition complex, subunit 5-like (yeast)
189573	ZNF131	AK057343.1	
132156	LOC90379	NM_138353.1	
232495	null		
187235	GBA2	NM_020944.2	glucosidase, beta (bile acid) 2
192518	RAB24	NM_130781.1	RAB24, member RAS oncogene family
181405	B4GALT4	NM_003778.3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
180037	AIF1	NM_001623.3	allograft inflammatory factor 1
190218	PPT2	NM_138717.1	palmitoyl-protein thioesterase 2;EGF-like-domain, multiple 8
145756	null		
156267	RGN	NM_152869.1	regucalcin (senescence marker protein-30)
237069	null	BC015647.1	
708164	null		
107702	FGG	NM_000509.3	fibrinogen, gamma polypeptide
230432	LOC222699	AF318346.1	
166432	NMNAT2	BC020998.2	
318897	null	AK025388.1	
195870	PDCD11		
135567	PREPL	AK025649.1	
166975	MCM5	NM_006739.2	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)
195820	RAB7L1	D84488.1	
171056	CRTAP	NM_006371.2	cartilage associated protein
Manufacturing_Test_Control_20			
104709	GJB1	NM_000166.2	gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)
209781	TBC1D2B	NM_015079.2	KIAA1055 protein
163676	PRO1853	NM_144736.3	hypothetical protein PRO1853
170380	DKFZP434G1415	NM_031292.2	hypothetical protein DKFZp434G1415
128803	MAK10	NM_024635.2	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)
156662	C7orf20	NM_015949.2	chromosome 7 open reading frame 20
166732	HERC2	NM_004667.2	hect domain and RLD 2
145980	GRAMD3	NM_023927.1	HCV NS3-transactivated protein 2
189378	null		
203562	SEC22L3	NM_032970.2	SEC22 vesicle trafficking protein-like 3 (S. cerevisiae)
221906	FBXO28	NM_015176.1	F-box protein 28
180080	KIAA0258	NM_014785.1	
190207	MTTP	NM_000253.1	microsomal triglyceride transfer protein (large polypeptide, 88kDa)
10715552	null		
172296	TAGLN2	NM_003564.1	transgelin 2
221236	CDH23	NM_022124.2	cadherin-like 23
169984	SEPP1	NM_005410.1	selenoprotein P, plasma, 1
113128	VPS13D	NM_018156.1	vacuolar protein sorting 13D (yeast)
107361	AMBP	NM_001633.2	alpha-1-microglobulin/bikunin precursor
209689	DUSP11	NM_003584.1	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)
103666	NRAS	NM_002524.2	neuroblastoma RAS viral (v-ras) oncogene homolog
125301	ATE1	NM_007041.1	arginyltransferase 1
542862	RAC3	NM_005052.2	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)
188609	GTF2E2	NM_002095.3	general transcription factor IIE, polypeptide 2, beta 34kDa
186334	GCN1L1	AC004812.1_CDS_3	
131558	FAT	NM_005245.1	FAT tumor suppressor homolog 1 (Drosophila)
148352	ZCCHC6	BC032456.1	
186980	LOC112869		
157534	THAP11	NM_020457.2	THAP domain containing 11
189919	WFIKKN1	NM_021168.2	RAB40C, member RAS oncogene family
519015	null	AK022264.1	
191402	ZNF471	NM_020813.1	zinc finger protein 471
182792	MSI2	NM_170721.1	musashi homolog 2 (Drosophila)
144446	USP2	NM_171997.1	ubiquitin specific protease 2
165472	TMEM63A	NM_014698.1	
231280	null		
184936	FADS2	NM_004265.2	fatty acid desaturase 2
707086	ZNF69	AK001669.1	
234958	null	BC013276.1	
135544	GAS2L1	NM_006478.3	growth arrest-specific 2 like 1
120144	GTF3C1	NM_001520.1	general transcription factor IIIC, polypeptide 1, alpha 220kDa
105712	ING4	BC007781.2	inhibitor of growth family, member 4
156617	LOC390846		
161027	ETS2	NM_005239.3	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
177061	TIMM50	NM_001001563.1	translocase of inner mitochondrial membrane 50 homolog (yeast)
127517	CALCOCO1	NM_020898.1	KIAA1536 protein
180804	LIG1	NM_000234.1	ligase I, DNA, ATP-dependent
115381	UBE2S	NM_014501.1	ubiquitin-conjugating enzyme E2S
231647	null		
146514	PDLIM2	NM_021630.4	PDZ and LIM domain 2 (mystique)
162141	TFDP2	NM_006286.1	transcription factor Dp-2 (E2F dimerization partner 2)
115171	C21orf66	NM_016631.2	chromosome 21 open reading frame 66
199974	DUS3L	NM_020175.1	hypothetical protein from EUROIMAGE 1967720
155047	MEST	NM_177525.1	mesoderm specific transcript homolog (mouse)
109699	KYNU	NM_003937.1	kynureninase (L-kynurenine hydrolase)
190681	null		
160130	SLC25A16	NM_152707.2	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16
224885	TMEM56	NM_152487.1	hypothetical protein FLJ31842
124730	SART3	NM_014706.2	squamous cell carcinoma antigen recognised by T cells 3
234883	null		
135630	MGC4707	NM_024113.2	hypothetical protein MGC4707
Manufacturing_Test_Control_19			
198473	HLA-G	NM_002127.3	HLA-G histocompatibility antigen, class I, G
135807	LOC388972|ANAPC1|LOC285074	NM_022662.2	anaphase promoting complex subunit 1
132469	STEAP1|MGC87042	NM_207342.1	six transmembrane epithelial antigen of the prostate;similar to Six transmembrane epithelial antigen of prostate
158749	UGT2A1	NM_006798.1	UDP glycosyltransferase 2 family, polypeptide A1
160252	M6PRBP1	NM_005817.2	mannose-6-phosphate receptor binding protein 1
119887	ZNF200	NM_198087.1	zinc finger protein 200
135397	LOC541471|MGC4677	NM_052871.1	hypothetical protein MGC4677
197488	ORM1	NM_000607.1	orosomucoid 1
166927	KIAA0841	BC013947.2	
141080	POLDIP3	NM_015703.2	similar to CGI-96;polymerase (DNA-directed), delta interacting protein 3;CGI-96 protein
171400	LAPTM4B	NM_018407.3	lysosomal associated protein transmembrane 4 beta
129541	ORC2L	NM_006190.3	origin recognition complex, subunit 2-like (yeast)
211044	ARHGEF18	NM_015318.2	rho/rac guanine nucleotide exchange factor (GEF) 18
195192	ORM1|ORM2	NM_000608.2	orosomucoid 2
143732	PPP1R1A	NM_006741.2	protein phosphatase 1, regulatory (inhibitor) subunit 1A
168454	MGC2731	NM_024068.2	hypothetical protein MGC2731
228823	null		
135522	NOM1	AF107455.1	
212012	APOC3|LOC440838	NM_000040.1	apolipoprotein C-III
237000	null		
216795	BAHD1	NM_014952.2	bromo adjacent homology domain containing 1
111805	POU3F4	NM_000307.1	POU domain, class 3, transcription factor 4
151579	ST3GAL1	NM_003033.2	sialyltransferase 4A (beta-galactoside alpha-2,3-sialyltransferase)
171586	PTPRG	NM_002841.2	protein tyrosine phosphatase, receptor type, G
224105	NOL6	NM_130793.3	nucleolar protein family 6 (RNA-associated)
174203	ABAT	NM_000663.2	4-aminobutyrate aminotransferase
108602	DNAJB2	NM_006736.4	DnaJ (Hsp40) homolog, subfamily B, member 2
169086	PEX11A	NM_003847.1	peroxisomal biogenesis factor 11A
141188	VPS13B	NM_181661.1	Cohen syndrome 1
149389	ABAT	NM_000663.2	4-aminobutyrate aminotransferase
189754	LOC440731		
109711	TPD52L1	NM_003287.1	tumor protein D52-like 1
Manufacturing_Test_Control_13			
185658	KIF3B	NM_004798.2	kinesin family member 3B
124405	EVI5	NM_005665.2	
Manufacturing_Test_Control_18			
150569	PLEKHA3	NM_019091.2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3
Manufacturing_Test_Control_16			
182468	LOC440973		
115848	null		
229735	LOC285847	AK093304.1	
468490	HIST1H2BC	Z80783.1_CDS_1	histone 1, H2bc
205587	ZNF641	NM_152320.1	hypothetical protein FLJ31295
148500	BRD8	NM_183359.1	bromodomain containing 8
487291	null		
166985	TRIP6	NM_003302.1	thyroid hormone receptor interactor 6
171364	LOC440819	X98922.1	
130135	SIAH1	NM_003031.2	seven in absentia homolog 1 (Drosophila)
197486	ABCF3	NM_018358.1	ATP-binding cassette, sub-family F (GCN20), member 3
105334	FARSLA	NM_004461.1	phenylalanine-tRNA synthetase-like, alpha subunit
548807	NHLRC1	NM_198586.2	NHL repeat containing 1
109770	RPUSD3	NM_173659.1	hypothetical protein MGC29784
215766	MYO6	NM_004999.1	
203686	C2	NM_000063.3	complement component 2
473067	PDE4DIP	AL080213.1	
119173	LRRC20	NM_018239.2	leucine rich repeat containing 20
225789	CXADR|LOC440224	NM_001338.3	coxsackie virus and adenovirus receptor
215901	null		
168716	null	NM_139119.1	YY1 associated protein
144542	TCF7L2	NM_030756.1	transcription factor 7-like 2 (T-cell specific, HMG-box)
218154	ATP1B3	NM_001679.1	ATPase, Na+/K+ transporting, beta 3 polypeptide
112482	EIF4G3	NM_003760.2	eukaryotic translation initiation factor 4 gamma, 3
226336	MAFB	NM_005461.3	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
100312	SERPINA5	NM_000624.3	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5
209677	PGPEP1	NM_017712.1	pyroglutamyl-peptidase I
209839	C8orf1	NM_004337.1	chromosome 8 open reading frame 1
145338	EHHADH	NM_001966.1	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase
142416	SLC38A6	NM_153811.1	solute carrier family 38, member 6
100431	PEX13	NM_002618.2	peroxisome biogenesis factor 13
168775	WSB1	NM_015626.7	WD repeat and SOCS box-containing 1
163917	FLNA	NM_001456.1	filamin A, alpha (actin binding protein 280)
157540	PRKAB1	NM_006253.4	protein kinase, AMP-activated, beta 1 non-catalytic subunit
215863	PACSIN2	NM_007229.1	protein kinase C and casein kinase substrate in neurons 2
151268	PSAT1	NM_058179.2	phosphoserine aminotransferase 1
202643	FAM54B	NM_019557.3	selenoprotein N, 1;hypothetical protein RP1-317E23
387250	null	BC041342.2	
102723	NUP37	NM_024057.2	nucleoporin 37kDa
109557	TUBB2A	AL031963.40_CDS_1	
235457	KIAA1049	NM_014972.1	KIAA1049 protein
152213	FLJ10415	NM_018089.1	hypothetical protein FLJ10415
115055	C2orf26	NM_023016.1	chromosome 2 open reading frame 26
134636	PROC	NM_000312.1	protein C (inactivator of coagulation factors Va and VIIIa)
172364	SBF1	NM_002972.1	SET binding factor 1
127989	RWDD3	NM_015485.2	RWD domain containing 3
179668	C11orf30	NM_020193.2	chromosome 11 open reading frame 30
114849	C2orf4	NM_015955.2	chromosome 2 open reading frame 4
167497	null	NM_033332.1	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
200352	LRRCC1	NM_033402.2	KIAA1764 protein
121075	STK16	NM_003691.1	serine/threonine kinase 16
126969	NFAT5	NM_173215.1	nuclear factor of activated T-cells 5, tonicity-responsive
210495	ST5	NM_005418.3	suppression of tumorigenicity 5
111422	LOC283129	AX747943.1	
144379	FBXO18	NM_178150.1	F-box protein, helicase, 18
127904	HDGF2	NM_001001520.1	hepatoma-derived growth factor-related protein 2
148704	HBA2|HBA1	NM_000517.3	hemoglobin, alpha 2;hemoglobin, alpha 1
195515	FN5	NM_020179.1	FN5 protein
177738	KIAA0553	AB011125.1	
161303	ZXDC	NM_025112.2	
173042	DHX37	NM_032656.2	DEAH (Asp-Glu-Ala-His) box polypeptide 37
214925	null		
145258	KIAA1522	BC020306.1	
177808	PHKG2	NM_000294.1	phosphorylase kinase, gamma 2 (testis)
635098	RP11-535K18.3	AL078638.9_CDS_2	
235449	LOC348926	BC044637.1	
233135	null	BC063132.1	
213048	NKIRAS2	NM_001001349.1	NFKB inhibitor interacting Ras-like 2
110649	TM7SF1	NM_003272.1	transmembrane 7 superfamily member 1 (upregulated in kidney)
155905	SLC29A1	NM_004955.1	solute carrier family 29 (nucleoside transporters), member 1
169191	FLJ37562	NM_152409.2	hypothetical protein FLJ37562
163201	KRIT1	NM_004912.3	cerebral cavernous malformations 1
179328	RUVBL1	NM_003707.1	RuvB-like 1 (E. coli)
228921	LOC400764		
182922	ICMT	NM_012405.2	isoprenylcysteine carboxyl methyltransferase
106892	null		
159269	NOL9	NM_024654.3	hypothetical protein FLJ23323
156353	C5orf3	BC011414.1	chromosome 5 open reading frame 3
158258	TLN2	NM_015059.1	talin 2
132931	PDZK8	NM_173791.2	PDZ domain containing 8
237059	XCL1|XCL2	AL031736.16_CDS_1	
227734	null		
107499	DENND3	NM_014957.1	
127096	VRK2	NM_006296.2	vaccinia related kinase 2
137561	null		
190669	KTI12	NM_138417.1	hypothetical protein BC012173
211523	TARDBP	NM_031214.1	TAR DNA binding protein
209116	CADPS2	NM_017954.7	Ca2+-dependent activator protein for secretion 2
103612	DYNC1LI2	NM_006141.2	dynein, cytoplasmic, light intermediate polypeptide 2
Manufacturing_Test_Control_2			
179312	null		
102581	MTRF1	NM_004294.2	mitochondrial translational release factor 1
170883	BC002942	NM_033200.1	hypothetical protein BC002942
167671	null		
107957	DKFZP586A0522	NM_014033.2	DKFZP586A0522 protein
198384	PLEKHF1	NM_024310.2	pleckstrin homology domain containing, family F (with FYVE domain) member 1
155850	S100A4	NM_019554.1	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)
129999	PIK3C2B	Y11312.1	
153298	null		
135102	HYPB	NM_012271.1	huntingtin interacting protein B
211683	HERC2P2|LOC440248	NM_004667.2	hect domain and RLD 2
233366	null		
183815	C10orf97	NM_024948.1	chromosome 10 open reading frame 97
194763	YIF1B	NM_033557.1	similar to putative transmembrane protein; homolog of yeast Golgi membrane protein Yif1p (Yip1p-interacting factor)
157084	ERBB3	NM_001982.1	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
145160	ANKRD49	NM_017704.2	fetal globin-inducing factor
Manufacturing_Test_Control_1			
170989	ZNF217	NM_006526.2	zinc finger protein 217
145721	PARVA	NM_018222.2	parvin, alpha
200985	CNOT8	NM_004779.4	CCR4-NOT transcription complex, subunit 8
215764	UVRAG	NM_003369.2	UV radiation resistance associated gene
144882	null		
175042	SIPA1	NM_153253.28	signal-induced proliferation-associated gene 1
189157	CYP20A1	NM_177538.1	cytochrome P450, family 20, subfamily A, polypeptide 1
234944	null		
205357	NSMAF	NM_003580.2	neutral sphingomyelinase (N-SMase) activation associated factor
160430	SFXN1	NM_022754.4	sideroflexin 1
189284	TBCC	NM_003192.1	tubulin-specific chaperone c
213622	RAB3GAP1	BC071602.1	
207717	RTN4RL2	NM_178570.1	reticulon 4 receptor-like 2
129428	OSBPL8	NM_020841.3	oxysterol binding protein-like 8
211052	EFHD2	NM_024329.4	EF hand domain containing 2
107656	OSRF	NM_012382.1	osmosis responsive factor
167033	DNASE1L1	NM_006730.1	deoxyribonuclease I-like 1
215327	GCHFR	NM_005258.2	GTP cyclohydrolase I feedback regulator
104890	C10orf22	NM_032804.4	chromosome 10 open reading frame 22
167138	UBE2G2	NM_003343.4	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)
121862	KNS2	NM_005552.3	kinesin 2 60/70kDa
209973	MCM3	NM_002388.3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
186375	RBM6	NM_005777.1	RNA binding motif protein 6
196999	TSPAN31	NM_005981.3	sarcoma amplified sequence
190831	VKORC1L1	NM_173517.3	vitamin K epoxide reductase complex, subunit 1-like 1
227688	MLR2	NM_032440.1	ligand-dependent corepressor;chromosome 10 open reading frame 12
122577	CBX5	NM_012117.1	chromobox homolog 5 (HP1 alpha homolog, Drosophila)
192034	CENTG2	NM_014914.2	centaurin, gamma 2
168788	C16orf24	NM_023933.1	hypothetical protein MGC2494
197942	TOMM40	NM_006114.1	translocase of outer mitochondrial membrane 40 homolog (yeast)
233375	LOC203510		
127534	C20orf22	NM_015600.2	chromosome 20 open reading frame 22
150811	PFDN1	NM_002622.3	prefoldin 1
205538	CPLX2	NM_006650.2	complexin 2;hypothetical protein DKFZp547D155
216937	BTG2	U72649.1	
223131	NARF	NM_012336.2	nuclear prelamin A recognition factor
118529	HLF	NM_002126.3	hepatic leukemia factor
210021	null		
148534	KIAA1327	NM_148894.1	hypothetical protein FLJ33215
225805	FLJ11193	NM_018356.1	hypothetical protein FLJ11193
118635	BTBD1	NM_025238.1	BTB (POZ) domain containing 1
197231	C10orf32	NM_020682.2	chromosome 10 open reading frame 32;Cyt19 protein
173229	APOB	NM_000384.1	apolipoprotein B (including Ag(x) antigen)
184098	PHF21A	NM_016621.2	BRAF35/HDAC2 complex (80 kDa)
202363	NFKB1	NM_003998.2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)
10695776	null	AK095286.1	
177235	null		
168414	BF	NM_001710.3	B-factor, properdin
219737	TMEM99	NM_145274.1	hypothetical protein MGC21518
192391	RAB27A	NM_004580.3	RAB27A, member RAS oncogene family
180498	MGC13017	NM_080656.1	similar to RIKEN cDNA A430101B06 gene
123012	JAG1	NM_000214.1	jagged 1 (Alagille syndrome)
192173	DVL3	NM_004423.3	dishevelled, dsh homolog 3 (Drosophila)
698555	null		
Manufacturing_Test_Control_6			
142748	MAT1A	NM_000429.1	methionine adenosyltransferase I, alpha
190302	CYP2D6|CYP2D7P1	NM_000106.3	cytochrome P450, family 2, subfamily D, polypeptide 6
121737	SRPK2	NM_182691.1	SFRS protein kinase 2
101949	null		
174654	FLJ20859	NM_022734.1	FLJ20859 gene
118478	MGC4399	NM_032315.1	mitochondrial carrier protein
206763	MAOA	NM_000240.2	monoamine oxidase A
193419	RPS6KB1	NM_003161.1	ribosomal protein S6 kinase, 70kDa, polypeptide 1
199241	C3orf39	NM_032806.4	hypothetical protein FLJ14566
Manufacturing_Test_Control_7			
205923	MGC23244	NM_144615.1	hypothetical protein MGC23244
170041	NPC1	NM_000271.1	Niemann-Pick disease, type C1
118520	RBM28	NM_018077.1	RNA binding motif protein 28
217813	CTNND1	NM_001331.1	catenin (cadherin-associated protein), delta 1
200565	FBXO22	NM_012170.2	F-box protein 22
235791	SETX	NM_015046.4	senataxin
214121	TATDN2	NM_014760.1	
232054	null		
134841	null	NM_002958.1	RYK receptor-like tyrosine kinase
109215	CCNG2	NM_004354.1	cyclin G2
206144	AFF1	NM_005935.1	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2
203941	KLF13	AF150628.1	
367268	null	BC038718.1	
191521	DKFZp547E052	BC062636.1	hypothetical protein DKFZp547E052
206306	OGG1	NM_016821.1	8-oxoguanine DNA glycosylase
172931	CIP29	NM_033082.1	cytokine induced protein 29 kDa;DnaJ (Hsp40) homolog, subfamily C, member 14
210350	DMTF1	NM_021145.2	cyclin D binding myb-like transcription factor 1
234346	null		
115837	NSUN6	NM_182543.1	nucleolar protein (NOL1/NOP2/sun) and PUA domains 1
112377	FLJ10287	NM_019083.1	hypothetical protein FLJ10287
150761	ABHD11	NM_031295.2	Williams Beuren syndrome chromosome region 21
159012	LOC92345	NM_138386.1	hypothetical protein BC008207
235725	null		
160897	ACBD6		
164230	STAT6	NM_003153.3	signal transducer and activator of transcription 6, interleukin-4 induced
150667	MAGED1	NM_006986.2	melanoma antigen, family D, 1
204609	TRPM7	NM_017672.2	transient receptor potential cation channel, subfamily M, member 7
198554	SAC3D1	NM_013299.1	protein predicted by clone 23627
188607	PIGN	NM_012327.3	phosphatidylinositol glycan, class N
149236	POLR1C	NM_004875.2	polymerase (RNA) I polypeptide C, 30kDa
195090	YIPF1	NM_018982.3	hypothetical protein DJ167A19.1
173521	null		
105441	GOLGA2LY1	AF332229.1	
100963	FAF1	NM_007051.2	Fas (TNFRSF6) associated factor 1
207786	null		
206344	PIK3CA	NM_006218.1	phosphoinositide-3-kinase, catalytic, alpha polypeptide
129035	EVA1	NM_144765.1	epithelial V-like antigen 1
236311	null		
104547	MGC3123	NM_024107.1	hypothetical protein MGC3123
130462	HSPA14	NM_016299.1	heat shock 70kDa protein 14
214713	SNRPD1	NM_006938.2	small nuclear ribonucleoprotein D1 polypeptide 16kDa
181852	null		
166163	HLA-E	NM_005516.3	major histocompatibility complex, class I, E
111199	KIF5B	NM_004521.1	kinesin family member 5B
120176	TOPBP1	NM_007027.2	topoisomerase (DNA) II binding protein 1
136557	ZNRD1	NM_014596.4	zinc ribbon domain containing, 1
163054	CYP2J2	NM_000775.2	cytochrome P450, family 2, subfamily J, polypeptide 2
118758	NOD9	NM_170722.1	NOD9 protein
117712	POLR3C	NM_006468.4	polymerase (RNA) III (DNA directed) polypeptide C (62kD)
179555	SLC2A8	NM_014580.2	solute carrier family 2, (facilitated glucose transporter) member 8
100939	HABP4	NM_014282.1	hyaluronan binding protein 4
130314	ZNF689	NM_138447.1	hypothetical protein BC014000
154694	IF	NM_000204.1	I factor (complement)
144826	ZNF23|ZNF19	NM_145911.1	zinc finger protein 23 (KOX 16);zinc finger protein 19 (KOX 12)
160014	RNF138	NM_016271.3	ring finger protein 138
170655	null		
196695	IER3	NM_052815.1	immediate early response 3
210086	HNMT	NM_006895.1	histamine N-methyltransferase
193963	SS18L1	NM_198935.1	synovial sarcoma translocation gene on chromosome 18-like 1
117827	null	BC032040.1	
120975	CSNK2A1P	NM_001895.3	casein kinase 2, alpha 1 polypeptide
113816	ASB13	NM_024701.2	ankyrin repeat and SOCS box-containing 13
108382	ZNRF3	AB051436.1	
Manufacturing_Test_Control_9			
222846	TCF7L1	NM_031283.1	transcription factor 7-like 1 (T-cell specific, HMG-box)
128935	ZNF268	NM_003415.1	zinc finger protein 268
102564	LOC441552		
142266	PLAGL2	NM_002657.2	pleiomorphic adenoma gene-like 2
120119	null		
104128	HOMER1	NM_004272.3	homer homolog 1 (Drosophila)
167055	KIAA1468	NM_020854.2	KIAA1468
119208	CCL14|CCL15	NM_004167.3	chemokine (C-C motif) ligand 15;chemokine (C-C motif) ligand 14
224164	ZNF579	NM_152600.1	zinc finger protein 579
268194	null		
206328	ZKSCAN1	BC022378.1	
133745	LOC393062|LOC392145		
208079	MED28	NM_025205.1	endothelial-derived gene 1
232548	LOC283377	NM_207344.1	hypothetical protein LOC283377
168879	BZW2	NM_014038.1	basic leucine zipper and W2 domains 2
211278	NT5E	NM_002526.1	5'-nucleotidase, ecto (CD73)
172690	ANKH	NM_054027.3	ankylosis, progressive homolog (mouse)
210096	DKFZP779L1558	BC028682.2	GGA binding partner
148230	C6orf96	NM_017909.1	chromosome 6 open reading frame 96
196008	LRRC41	NM_006369.3	MUF1 protein
156494	CDK10	NM_003674.2	cyclin-dependent kinase (CDC2-like) 10
186940	MGC13170	NM_199250.1	multidrug resistance-related protein
115384	ENOSF1	NM_017512.2	rTS beta protein
205322	LOC130074	AK023868.1	
168789	ZNF174	NM_003450.1	zinc finger protein 174
171576	EPS15	NM_001981.1	epidermal growth factor receptor pathway substrate 15
202870	GDAP2	NM_017686.1	ganglioside induced differentiation associated protein 2
194925	C1orf142	NM_053052.2	SVAP1 protein
134617	GPR126	NM_020455.3	G protein-coupled receptor 126
189814	VAMP5	NM_006634.2	vesicle-associated membrane protein 8 (endobrevin);vesicle-associated membrane protein 5 (myobrevin)
100485	ZCCHC6	AK055546.1	
207290	null		
127035	RPIA	NM_144563.1	ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)
168727	ZNF187	NM_152736.2	zinc finger protein 187
154787	DGCR8	NM_022720.4	DiGeorge syndrome critical region gene 8
145851	BTAF1	NM_003972.1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)
101445	null		
200998	ZDHHC4	NM_018106.2	zinc finger, DHHC domain containing 4
164069	RNF184	NM_018133.2	hypothetical protein FLJ10546
122471	LIME1	NM_181484.1	KIAA1847
154961	ZNF434	NM_017810.2	zinc finger protein 434
116397	FKBP10	NM_021939.2	FK506 binding protein 10, 65 kDa
172993	ACOX2	NM_003500.1	acyl-Coenzyme A oxidase 2, branched chain
147273	RAB1B	NM_030981.1	RAB1B, member RAS oncogene family
193288	SPRED1	NM_152594.1	sprouty-related, EVH1 domain containing 1
120471	PPP1R1C	BC017943.1	
168806	null		
141108	KIAA0182	NM_014615.1	KIAA0182 protein
101798	S100A9	NM_002965.2	S100 calcium binding protein A9 (calgranulin B)
164116	FLJ20032	AK027819.1	hypothetical protein FLJ20032
215615	UCKL1	NM_017859.1	uridine kinase-like 1
203878	C14orf32	NM_144578.2	chromosome 14 open reading frame 32
150320	KIAA1704	NM_018559.2	KIAA1704
207439	DKFZp667M2411	NM_207323.1	hypothetical protein DKFZp667M2411;KIAA0563-related gene
169815	TARBP1	NM_005646.2	TAR (HIV) RNA binding protein 1
202436	INHBE	NM_031479.3	inhibin, beta E
235168	null		
215843	CLN6	NM_017882.1	ceroid-lipofuscinosis, neuronal 6, late infantile, variant
134343	null		
108511	GCDH	NM_000159.1	glutaryl-Coenzyme A dehydrogenase
199112	FGFR4	NM_213647.1	fibroblast growth factor receptor 4
171691	RASSF4	NM_032023.3	Ras association (RalGDS/AF-6) domain family 4
198534	LRP11	AJ420524.1	low density lipoprotein receptor-related protein 11
171336	PRKRIR	NM_004705.2	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)
107739	PLDN	NM_012388.2	pallidin homolog (mouse);sulfide quinone reductase-like (yeast)
179802	NUDT6	NM_007083.3	nudix (nucleoside diphosphate linked moiety X)-type motif 6
146180	C14orf149	NM_144581.1	chromosome 14 open reading frame 149
232100	null		
229834	MGC46336	AK096248.1	
101377	LTB4R2|CIDEB	NM_014430.1	cell death-inducing DFFA-like effector b
177051	YEATS4	NM_006530.2	glioma-amplified sequence-41
176204	C1orf82	NM_024813.1	hypothetical protein FLJ13150
186846	GAS2	NM_005256.2	growth arrest-specific 2
117476	HOXB1	NM_002144.2	homeo box B1
117604	C16orf51	NM_015421.1	DKFZP564K2062 protein
231887	null	AL391256.13_CDS_1	
117314	CNOT7	NM_054026.1	CCR4-NOT transcription complex, subunit 7
171198	SCHIP1	NM_014575.1	schwannomin interacting protein 1
120963	ZMAT5	NM_019103.1	U11/U12 snRNP 20K
157979	FLJ31951	NM_144726.1	hypothetical protein FLJ31951
