Gene Name	Common	Genbank	Description
121459	null		
235515	LOC339843		
140314	TTC3	NM_003316.2	tetratricopeptide repeat domain 3
114043	LOC124685		
146270	CENTG3	NM_031946.3	centaurin, gamma 3
126930	COL4A3BP	NM_031361.1	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
168192	DNAJB11	NM_016306.3	DnaJ (Hsp40) homolog, subfamily B, member 11
133794	CCDC44	NM_016360.2	clone HQ0477 PRO0477p
184281	HIST1H3D	NM_003530.3	histone 1, H3d
170242	TBK1	NM_013254.2	TANK-binding kinase 1
194512	RPA3	NM_002947.2	replication protein A3, 14kDa
211578	GPBP1	NM_022913.1	vasculin
150564	FLJ20625	NM_017907.1	hypothetical protein FLJ20625
207468	ANKRD46	NM_198401.1	hypothetical protein LOC157567
207709	QIL1	NM_205767.1	QIL1 protein
152281	CTTN	NM_138565.1	cortactin
116930	TOP2B	NM_001068.2	topoisomerase (DNA) II beta 180kDa
167665	null		
176535	LOC347292		
211972	DDX18	NM_006773.3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
234585	null	BC015898.1	
149861	PLXNB2	NM_012401.1	
235093	null		
104057	null		
190847	TRIP4	NM_016213.2	thyroid hormone receptor interactor 4
178673	LOC92305	NM_138385.1	hypothetical protein BC009331
213495	TOM1	NM_005488.1	target of myb1 (chicken)
177196	ACOT1|ACOT2	NM_006821.3	peroxisomal long-chain acyl-coA thioesterase
128314	MRPL41	NM_032477.1	mitochondrial ribosomal protein L41
174684	UBE2Z	NM_023079.2	hypothetical protein FLJ13855
203525	GBF1	NM_004193.1	golgi-specific brefeldin A resistance factor 1
198581	PDIA3		
111815	null		
100398	FLJ14959	AX884113.1_CDS_1	
343450	SNRPE	X12466.1	
208523	TMED2	NM_006815.2	coated vesicle membrane protein
199490	SRRM1	NM_005839.2	serine/arginine repetitive matrix 1
116662	null		
219303	null	NM_031157.1	heterogeneous nuclear ribonucleoprotein A1
184693	DYNLRB1	NM_014183.2	dynein, cytoplasmic, light polypeptide 2A
187380	BCAS3	NM_017679.2	breast carcinoma amplified sequence 3
181271	null	AX971318.1_CDS_1	
226935	DNAJC19	NM_201260.1	homolog of yeast TIM14
225933	DUT	NM_001948.2	dUTP pyrophosphatase
107747	CCT4	NM_006430.2	chaperonin containing TCP1, subunit 4 (delta)
234790	null		
168068	ACP6	NM_016361.2	lysophosphatidic acid phosphatase
100058	TMEM93	NM_031298.1	hypothetical protein MGC2963
205686	FIBP	NM_198897.1	fibroblast growth factor (acidic) intracellular binding protein
155157	RARS	NM_002887.3	arginyl-tRNA synthetase
197586	PSMB5	NM_002797.2	proteasome (prosome, macropain) subunit, beta type, 5
160021	GNAS	NM_080426.1	GNAS complex locus
196088	VDAC1	NM_003374.1	voltage-dependent anion channel 1
226908	PDPK1		
127723	DERA	NM_015954.1	CGI-26 protein
225189	SCOTIN	NM_016479.3	scotin
124613	LOC148915		
160407	IER3IP1	NM_016097.2	HSPC039 protein
224388	CBX3	NM_007276.3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
181242	OSBPL9	NM_148909.1	oxysterol binding protein-like 9
151000	CEBPD	NM_005195.2	CCAAT/enhancer binding protein (C/EBP), delta
175796	UNQ501	BC064948.1	
224715	RPL36AL	NM_001001.3	ribosomal protein L36a-like
188227	APIP	NM_015957.1	likely ortholog of mouse monocyte macrophage 19
215129	GTL3	NM_013242.2	likely ortholog of mouse gene trap locus 3
107683	LOC440678		
206886	RNF167	NM_015528.1	DKFZP566H073 protein
233543	null		
206878	null		
171390	null		
216975	PRPF4B	NM_176800.1	PRP4 pre-mRNA processing factor 4 homolog B (yeast)
194052	MGC4767	NM_032314.1	
177034	null		
110905	TBRG1	NM_032811.1	transforming growth factor beta regulator 1
229738	null		
139758	null		
129246	null		
103682	AP1M1	NM_032493.2	adaptor-related protein complex 1, mu 1 subunit
236660	null		
176827	ATP1A1	NM_000701.6	ATPase, Na+/K+ transporting, alpha 1 polypeptide
197519	GRCC10	NM_138425.2	likely ortholog of mouse gene rich cluster, C10 gene
211357	MGC14141	NM_032928.2	hypothetical protein MGC14141
131260	ADD1	NM_014189.2	adducin 1 (alpha)
234041	null		
236423	LOC441481		glutathione peroxidase 1
122941	null		
195704	SARS	NM_006513.2	seryl-tRNA synthetase
213184	BXDC1	NM_032194.1	brix domain containing 1;chromosome 20 open reading frame 53
172730	null		
168202	SQSTM1	NM_003900.3	sequestosome 1
161521	null		
171567	C1orf151	AK094318.1	
170892	BANF1	NM_003860.2	barrier to autointegration factor 1
169676	UBE3A	NM_130839.1	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)
132666	MYC	NM_002467.2	v-myc myelocytomatosis viral oncogene homolog (avian)
189140	NDUFA1	NM_004541.2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa
232579	null	AJ224081.1_CDS_1	
114390	null		
210137	IDH3B	NM_174856.1	isocitrate dehydrogenase 3 (NAD+) beta
224241	null	NM_006812.1	amplified in osteosarcoma
233904	LRP6	AK124760.1	
184060	PPP2R4	NM_178000.1	protein phosphatase 2A, regulatory subunit B' (PR 53)
173286	MRPS33	NM_016071.2	mitochondrial ribosomal protein S33
213392	ZNF697		
176980	GORASP1	NM_031899.2	golgi reassembly stacking protein 1, 65kDa
162444	COPS5	NM_006837.2	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)
140682	LOC390239		
112215	LOC132391		
158687	PCBP2	NM_005016.2	poly(rC) binding protein 2
104456	RPS8	NM_004486.4	golgi autoantigen, golgin subfamily a, 2
109551	LOC391437		
201736	U2AF1	NM_006758.1	U2(RNU2) small nuclear RNA auxiliary factor 1
184396	C2F	NM_006331.4	C2f protein
128737	LOC391352		
113563	PKM2	NM_182471.1	pyruvate kinase, muscle
210464	GNG10|LOC552891	NM_004125.2	guanine nucleotide binding protein (G protein), gamma 10
224395	CCND1	NM_053056.1	cyclin D1 (PRAD1: parathyroid adenomatosis 1)
176523	null		
130996	RPS15A		
205133	null		
138964	PGK1	NM_000291.2	phosphoglycerate kinase 1
195624	SHANK3	AB051437.1	
236498	null		
113047	RPS26	NM_001029.2	ribosomal protein S26
190921	DENND2C|BCAS2	NM_005872.1	breast carcinoma amplified sequence 2
236102	LOC392557		
171812	DPM1	NM_003859.1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
150170	SLC25A1	NM_005984.1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1
132865	null		
137086	ANAPC13	NM_015391.1	anaphase promoting complex subunit 13
141167	C3orf37	NM_020187.1	DC12 protein
236061	null		
207117	ITGB4BP	NM_181468.1	integrin beta 4 binding protein
110074	GM2A	NM_000405.3	GM2 ganglioside activator
101985	CCT6A	NM_001762.2	chaperonin containing TCP1, subunit 6A (zeta 1)
144881	ZFPM1	NM_153813.1	zinc finger protein, multitype 1
186989	DTX2		
212426	SUGT1	NM_006704.2	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)
192343	KLHDC2	NM_014315.1	kelch domain containing 2
215251	ATF1	NM_005171.2	activating transcription factor 1
208122	NACAL	NM_199290.2	alpha-NAC protein
189906	ZNF7	NM_003416.1	zinc finger protein 7 (KOX 4, clone HF.16)
125623	LOC401904	NM_000984.3	ribosomal protein L23a
201000	USP47	NM_017944.2	ubiquitin specific protease 47
132733	LOC387907|RPS7	NM_001011.2	ribosomal protein S7
206561	C1orf22	BC016464.1	
208195	MKRN1	NM_013446.2	makorin, ring finger protein, 1
173757	UFM1	NM_016617.1	ubiquitin-fold modifier 1
119696	PCBD1	NM_000281.1	6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)
124267	PSMC4	NM_153001.1	proteasome (prosome, macropain) 26S subunit, ATPase, 4
132301	CHMP2A	NM_014453.2	putative breast adenocarcinoma marker (32kD)
164694	NOLA1	NM_018983.2	nucleolar protein family A, member 1 (H/ACA small nucleolar RNPs)
222407	LYPLA1	NM_006330.2	lysophospholipase I
164961	LOC388885		
149846	LST1		
137498	FBXL3	NM_012158.1	F-box and leucine-rich repeat protein 3A
236557	null		
193759	TNKS1BP1	NM_033396.1	tankyrase 1 binding protein 1, 182kDa
163646	null		
211642	LOC441561|LOC118945|LOC340736	L07772.1_CDS_1	
146711	TMEM8	NM_021259.1	transmembrane protein 8 (five membrane-spanning domains)
141012	COL18A1	NM_130445.1	collagen, type XVIII, alpha 1
100945	CLCN3	NM_001829.1	chloride channel 3
115249	SFRS5	NM_006925.2	splicing factor, arginine/serine-rich 5
384551	FLJ40448	NM_182605.1	hypothetical protein FLJ40448
119206	SCARB2	NM_005506.2	scavenger receptor class B, member 2
122176	KIAA1002	NM_014925.2	KIAA1002 protein
125792	PRKACA	NM_207518.1	protein kinase, cAMP-dependent, catalytic, alpha
129859	APIP		
115558	GAS5	BC070486.1	
203065	CSRP1	AK126445.1	
702648	SMA3|GUSBL1|MGC22265|LOC153561|SMA4	NM_006780.1	SMA3;chromosome 6 open reading frame 216
705996	LOC441027	BC052613.1	
194430	LOC120872		
179056	NAGK	NM_017567.1	N-acetylglucosamine kinase
150996	NDUFA13	NM_015965.3	cell death-regulatory protein GRIM19
102706	null		
236490	LOC441510		
205989	null		
215425	PRDX6	D14662.1	
176249	null		
148825	LOC392531		
235310	null		
128154	MRLC2	NM_033546.2	myosin regulatory light chain MRCL3;myosin regulatory light chain MRLC2
195340	MRPS24	NM_032014.1	mitochondrial ribosomal protein S24
207410	PDHX	NM_003477.1	pyruvate dehydrogenase complex, component X
158210	PTPLAD1	BC011443.1	
223546	RPL12	NM_000976.2	ribosomal protein L12
193628	ATG3	NM_022488.3	autophagy Apg3p/Aut1p-like
192720	PNRC2	NM_017761.2	proline-rich nuclear receptor coactivator 2
198198	LPGAT1	NM_014873.1	
200516	ZF	NM_021212.1	HCF-binding transcription factor Zhangfei
104189	NNT	NM_182977.1	nicotinamide nucleotide transhydrogenase
122892	ZNF699		
109856	TM7SF3	NM_016551.1	transmembrane 7 superfamily member 3
194678	null		
518960	LOC440252|FLJ35785	NM_173613.1	hypothetical protein FLJ35785
204279	C3F	NM_005768.5	putative protein similar to nessy (Drosophila)
198133	null		
118774	ODC1	NM_002539.1	ornithine decarboxylase 1
161007	COX17	NM_005694.1	COX17 homolog, cytochrome c oxidase assembly protein (yeast)
123534	MCTS1	NM_014060.1	malignant T cell amplified sequence 1
152207	LOC390364		
141342	ST13	NM_003932.3	family with sequence similarity 10, member A4;family with sequence similarity 10, member A5;suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
106012	SLC25A20	NM_000387.3	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20
105644	null		
140913	MRPS30	NM_016640.2	mitochondrial ribosomal protein S30
182980	SPTLC1	NM_006415.2	serine palmitoyltransferase, long chain base subunit 1
151867	SSRP1	NM_003146.2	structure specific recognition protein 1
116206	HNRPU	NM_004501.2	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
200608	ZNF208	NM_007153.1	zinc finger protein 208
178578	SDHC	NM_003001.2	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa
213429	null		
236802	LOC285412		
208041	EIF2S2	NM_003908.2	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa
172014	null		
155208	LOC144383		
119757	FKBP2	NM_057092.1	FK506 binding protein 2, 13kDa
111712	PSMD6	NM_014814.1	proteasome regulatory particle subunit p44S10
158257	SFRS1	NM_006924.3	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)
161744	SRPR	NM_003139.2	signal recognition particle receptor ('docking protein')
698503	null	AK055974.1	
114208	null		
194079	PPIE	NM_203456.1	peptidylprolyl isomerase E (cyclophilin E)
153620	LSM2	NM_021177.3	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)
181999	PPP1CA	NM_002708.3	protein phosphatase 1, catalytic subunit, alpha isoform
149532	null		
159741	null		
236621	null		
670775	NOMO1	NM_014287.2	hypothetical protein LOC283820;pM5 protein
197685	LOC441147		
162818	EDEM1	NM_014674.1	
226468	MGC23909	NM_174909.1	hypothetical protein MGC23909
111931	SLTM	NM_024755.1	hypothetical protein FLJ13213
183682	null		
115399	ZNF395|FBXO16	NM_017606.2	zinc finger protein 395
109879	TANK	NM_133484.1	TRAF family member-associated NFKB activator
128903	GNL3	NM_014366.4	nucleostemin
196461	NIF3L1	NM_021824.1	NIF3 NGG1 interacting factor 3-like 1 (S. pombe)
180014	LOC344178		
219111	DERL1	NM_024295.3	hypothetical protein MGC3067
172303	ATP6V0C	NM_001694.2	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c
115200	PEX5	NM_000319.3	peroxisomal biogenesis factor 5
209531	PEX19	NM_002857.2	peroxisomal biogenesis factor 19
127779	SERBP1	NM_015640.1	PAI-1 mRNA-binding protein
131436	UBE2D3	NM_181886.1	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)
207029	MLH1	NM_000249.2	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)
148600	EGLN1	NM_022051.1	egl nine homolog 1 (C. elegans)
142438	POLDIP2	NM_015584.2	polymerase (DNA-directed), delta interacting protein 2
161157	GLTSCR2	NM_015710.2	glioma tumor suppressor candidate region gene 2
544374	AGPAT4	NM_020133.1	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)
179054	PRDX3	NM_006793.2	peroxiredoxin 3
105974	GPR111		
209462	PSMC1	NM_002802.2	proteasome (prosome, macropain) 26S subunit, ATPase, 1
236782	null		
135984	C6orf160	BC009220.2	
187871	LOC127406	AL353681.8_CDS_1	
194114	FOXO3A	NM_001455.2	forkhead box O3A
187311	C18orf10	NM_015476.1	chromosome 18 open reading frame 10
123896	ABCD3	NM_002858.2	ATP-binding cassette, sub-family D (ALD), member 3
183842	PLS3	NM_005032.3	plastin 3 (T isoform)
148160	LOC441013		
202654	null		
147392	LOC391045		
176192	CDC26	NM_139286.3	cell division cycle 26
158532	WDR42A	NM_015726.2	H326
195966	EIF4E	NM_001968.1	eukaryotic translation initiation factor 4E
105423	H2AFZ	NM_002106.2	H2A histone family, member Z
192289	PIG-Y	NM_032906.2	hypothetical protein MGC14156
132506	CAPZB	NM_152830.1	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
106111	null		
106136	null		
210461	LAPTM4A	NM_014713.3	lysosomal-associated protein transmembrane 4 alpha
137556	NARG1L	NM_024561.3	hypothetical protein FLJ22054
234621	ZMYND17	NM_000987.2	ribosomal protein L26;hypothetical protein LOC124751
105701	C14orf120	BC030817.1	
222435	RPL11	NM_000975.2	ribosomal protein L11
129972	PXMP2	NM_018663.1	peroxisomal membrane protein 2, 22kDa
217138	null		
177784	null		
179484	NEK6	NM_014397.3	NIMA (never in mitosis gene a)-related kinase 6
204773	MT1A	NM_175617.2	metallothionein 2A;metallothionein 1K;metallothionein 1E (functional);metallothionein 1A (functional)
169493	null	AL021395.16_CDS_2	
103034	API5	BC015898.1	
208765	CENTA2	NM_018404.1	centaurin, alpha 2
141422	EDF1	NM_003792.2	endothelial differentiation-related factor 1
207300	null		
128329	HPCAL1	NM_002149.2	hippocalcin-like 1
236023	null		
193199	HBXAP	NM_016578.3	hepatitis B virus x associated protein
232510	null		
206199	LOC402397		
183110	null		
120682	C20orf6	NM_016649.3	chromosome 20 open reading frame 6
223480	GNA11	NM_002067.1	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
236724	null		
122943	ZNF12	NM_016265.1	zinc finger protein 325
209447	PEX14	NM_004565.1	peroxisomal biogenesis factor 14
207358	HNRPA3	NM_005758.1	heterogeneous nuclear ribonucleoprotein A3
114676	LOC392181		
115807	ECHS1	NM_004092.2	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial
235712	null	AK090983.1	
191433	null		
179008	RPL15	NM_002948.2	ribosomal protein L15
216366	EEF1B2	NM_001959.2	eukaryotic translation elongation factor 1 beta 2
196409	RNH1	NM_203386.1	ribonuclease/angiogenin inhibitor
224302	FLJ13149	NM_014948.2	hypothetical protein FLJ13149;likely ortholog of mouse ubiquitin conjugating enzyme 7 interacting protein 5
159448	PSARL	NM_018622.3	presenilin associated, rhomboid-like
152997	RAB8A	NM_005370.4	RAB8A, member RAS oncogene family
152345	RPN2	NM_002951.2	ribophorin II
117300	RPL14	NM_006312.1	nuclear receptor co-repressor 2
123527	LOC388822		
212790	CDC16	NM_003903.2	CDC16 cell division cycle 16 homolog (S. cerevisiae)
116549	MFN2	NM_014874.2	mitofusin 2
155708	GMNN	NM_015895.3	geminin, DNA replication inhibitor
211604	null		
141605	TIGA1	NM_053000.1	TIGA1
186888	LOC126037		
171444	null	M93083.1_CDS_1	
225045	TGIF	NM_173211.1	TGFB-induced factor (TALE family homeobox)
152734	YWHAZ	NM_145690.1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
231283	null		
107393	AUH	NM_001698.1	AU RNA binding protein/enoyl-Coenzyme A hydratase
170047	null	AK025353.1	
146597	KIAA0103	NM_014673.2	KIAA0103
183989	null		
140413	MGC15875	NM_153373.1	hypothetical protein MGC15875
155302	HDAC3	NM_003883.2	histone deacetylase 3
178534	PSMD8	NM_002812.3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8
193177	SUPT4H1	NM_003168.1	suppressor of Ty 4 homolog 1 (S. cerevisiae)
138269	POLR2F	NM_021974.2	polymerase (RNA) II (DNA directed) polypeptide F
113222	NCKAP1	NM_205842.1	NCK-associated protein 1
231145	null		
234821	null	BC033118.1	
207155	MRPL24	NM_145729.1	mitochondrial ribosomal protein L24
141815	RPL24|SLC36A2	NM_000986.2	ribosomal protein L24
215869	LOC284184		
192124	SLC35B1	NM_005827.1	solute carrier family 35, member B1
131265	HSPE1	NM_002157.1	heat shock 10kDa protein 1 (chaperonin 10)
235681	null	NM_006937.2	SMT3 suppressor of mif two 3 homolog 2 (yeast)
209246	WDR40A	NM_015397.1	WD repeat domain 40A
144487	SNRPD2	NM_004597.4	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa
177951	RP11-484I6.3	NM_138779.2	hypothetical protein BC015148
217174	TRA1	NM_003299.1	tumor rejection antigen (gp96) 1
203264	null		
215219	FLJ46189	AK131575.1	
111685	KPNA4	NM_002268.3	karyopherin alpha 4 (importin alpha 3)
483416	null	AK055547.1	
234554	null	AL117522.1	
180376	FMR1	NM_002024.1	fragile X mental retardation 1
120185	SEP15	NM_203341.1	15 kDa selenoprotein
175256	STX5A	NM_003164.2	syntaxin 5A
117508	LEREPO4	NM_018471.1	likely ortholog of mouse immediate early response, erythropoietin 4
162743	C20orf24	NM_018840.2	chromosome 20 open reading frame 24
118887	null		
134434	C8orf59	AK000414.1	
169560	HIST1H2BE	NM_003523.2	histone 1, H2be
136075	CBWD5|CBWD1|CBWD2|CBWD3|RP11-460E7.3	NM_201549.1	COBW-like protein;COBW domain containing 2;dopamine responsive protein
195693	CUEDC2	NM_024040.1	CUE domain containing 2
191578	LOC441916		
187172	PGAM1	NM_002629.2	phosphoglycerate mutase 1 (brain)
103694	HMGB1	NM_002128.3	high-mobility group box 1
171166	LSMD1	NM_032356.3	hypothetical protein MGC14151
219479	null		
122478	PCNA	NM_182649.1	proliferating cell nuclear antigen
211521	null		
171110	KEAP1	NM_012289.3	kelch-like ECH-associated protein 1
157132	null		
219856	PSMC5	NM_002805.4	proteasome (prosome, macropain) 26S subunit, ATPase, 5
107316	PTEN|PTENP1	NM_000314.2	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)
129276	null		
207006	ZNF197	NM_006991.2	zinc finger protein 197
107630	S100A13	NM_005979.1	
139799	MAP2K1	NM_002755.2	mitogen-activated protein kinase kinase 1
141908	PECI	NM_206836.1	peroxisomal D3,D2-enoyl-CoA isomerase
162321	SCARB2	NM_005506.2	scavenger receptor class B, member 2
147693	RPL23	NM_000978.2	ribosomal protein L23
204861	null		
211412	KLF6	NM_001300.3	core promoter element binding protein
211923	C16orf33	NM_024571.1	chromosome 16 open reading frame 33
206236	FTSJ3	NM_017647.2	FtsJ homolog 3 (E. coli)
209101	UBE2G2	NM_003343.4	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)
234098	null		
236307	null		
207077	RAD21	NM_006265.1	RAD21 homolog (S. pombe)
219147	STAT3	NM_139276.2	signal transducer and activator of transcription 3 (acute-phase response factor)
135801	RAB9A	NM_004251.3	RAB9A, member RAS oncogene family
161070	null		
124345	LOC134505		
197392	null		
120804	H41	NM_017548.2	hypothetical protein H41
155815	LOC91561		
198609	HSPC016	NM_015933.1	hypothetical protein HSPC016
172735	CTSL	NM_001912.2	cathepsin L
157784	PDCD4	NM_012423.2	ribosomal protein L13a
698834	null	AK056887.1	
139743	C1orf43	NM_138740.1	NICE-3 protein
187603	PCGF4	NM_012071.1	B lymphoma Mo-MLV insertion region (mouse);COMM domain containing 3
183798	EIF3S1	NM_003758.1	eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa
103451	CHMP1B	NM_020412.3	CHMP1.5 protein
215347	C10orf58	NM_032333.2	chromosome 10 open reading frame 58
246609	null	AK024411.1	
107344	LOC401713		
192374	LRPPRC	NM_133259.2	leucine-rich PPR-motif containing
160960	TXN	NM_003329.1	thioredoxin
122601	PRPF3	NM_004698.1	PRP3 pre-mRNA processing factor 3 homolog (yeast)
199491	null		
107053	CHMP5	NM_016410.2	chromosome 9 open reading frame 83
100385	ZFR	NM_016107.3	zinc finger RNA binding protein
120870	MASK-BP3|EIF4EBP3	NM_017978.1	MASK-4E-BP3 alternate reading frame gene;eukaryotic translation initiation factor 4E binding protein 3;ankyrin repeat and KH domain containing 1
102484	null		
177291	HKE2	NM_002162.2	intercellular adhesion molecule 3;RAVER1;similar to RIKEN cDNA B230118G17 gene
151062	MRPL42	NM_172178.1	mitochondrial ribosomal protein L42
149414	RPLP0	NM_001002.3	ribosomal protein, large, P0
193811	FTL	NM_000146.2	ferritin, light polypeptide
235029	KRT8		
216576	ACTN1	NM_001102.2	actinin, alpha 1
193892	null		
100503	SDHD	NM_003002.1	succinate dehydrogenase complex, subunit D, integral membrane protein
138803	MRPS26	NM_030811.3	mitochondrial ribosomal protein S26
209590	PHGDHL1	NM_177967.2	phosphoglycerate dehydrogenase like 1
104625	null		
136242	DDT	NM_001355.2	D-dopachrome tautomerase
190803	null		
100901	null		
714590	LOC441112		
205412	NIT2	NM_020202.2	Nit protein 2
184227	GOLGA7	NM_016099.1	golgi autoantigen, golgin subfamily a, 7
200424	CD5L		
194068	TUBB2A	NM_178012.3	tubulin, beta polypeptide paralog
130706	CLPP	NM_006012.1	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)
120408	D15Wsu75e	CR456458.1	
230868	LOC442345		
221307	IL18BP	NM_173044.1	interleukin 18 binding protein
230352	EDF1		
153400	null		
236755	null		
215932	null	BC039246.1	
221992	CRAT	NM_144782.1	carnitine acetyltransferase
164432	null	AF088032.1	
147307	pp9099	NM_025201.3	PH domain-containing protein
150003	GBA	AK090514.1	
108594	PGRMC2	NM_006320.1	progesterone receptor membrane component 2
563594	ZNF69	AK001669.1	
163373	RPL21|LOC641293	NM_000982.2	ribosomal protein L21
127943	PRKCSH	NM_002743.2	protein kinase C substrate 80K-H
159075	SPOP	AJ000644.1	speckle-type POZ protein
190885	null		
179404	BCAR3	NM_003567.1	breast cancer anti-estrogen resistance 3
235599	null		
123981	RPS23	NM_001025.3	ribosomal protein S23
213460	RBX1	NM_014248.2	ring-box 1
177204	LOC402142		
119801	null		
177240	HTATSF1	NM_014500.3	HIV TAT specific factor 1
107874	CD164	NM_006016.3	CD164 antigen, sialomucin
210863	RTN4	NM_207520.1	reticulon 4
214525	RBMX	NM_002139.1	RNA binding motif protein, X-linked
177296	HNRPA3|HNRPA3P1	NM_005758.1	heterogeneous nuclear ribonucleoprotein A3
236351	null		
227638	BTF3	NM_001207.3	basic transcription factor 3
163631	null		
130594	LOC442682|LOC392030		
164007	null		
119694	PSMD10	NM_170750.1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10
220348	SULT1A3|SULT1A4	NM_001054.2	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1;sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2
234638	DST	NM_020388.2	bullous pemphigoid antigen 1, 230/240kDa
146098	PTTG1IP	NM_004339.2	pituitary tumor-transforming 1 interacting protein
142323	C20orf116	NM_023935.1	chromosome 20 open reading frame 116
157638	ATP6V0B	NM_004047.2	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c''
173899	SLC35D2	NM_007001.1	solute carrier family 35, member D2
181718	NINJ1	NM_004148.2	ninjurin 1
181273	SAR1A	NM_020150.3	SAR1a gene homolog 1 (S. cerevisiae)
228418	null	AL080315.18_CDS_1	
202905	PIK4CA	NM_002650.1	similar to phosphatidylinositol 4-kinase alpha;phosphatidylinositol 4-kinase, catalytic, alpha polypeptide
103491	null		
104372	IK	NM_006083.2	IK cytokine, down-regulator of HLA II
119226	MAP1LC3B	NM_022818.2	microtubule-associated protein 1 light chain 3 beta
211546	P4HB	NM_000918.2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)
176281	null		
143257	DDOST	NM_005216.3	dolichyl-diphosphooligosaccharide-protein glycosyltransferase
204473	HNRPR	NM_005826.2	heterogeneous nuclear ribonucleoprotein R
174269	SFRS6	NM_006275.4	splicing factor, arginine/serine-rich 6
187656	NDUFS4	NM_002495.1	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)
145923	SLURP1	NM_020427.2	ARS component B
234458	null		
121099	MGC31967	NM_174923.1	hypothetical protein MGC31967
214250	SEC61B	NM_006808.2	Sec61 beta subunit
228856	null		
129965	LOC391124		
179574	COX7A2L	NM_004718.2	cytochrome c oxidase subunit VIIa polypeptide 2 like
234151	LOC205251	NM_174925.1	hypothetical protein LOC205251
167512	HIST1H3F	NM_021018.2	histone 1, H3f
216766	NDUFA4	NM_002489.2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa
104741	GALNT2	NM_004481.2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
205146	KIAA0971	NM_014929.2	KIAA0971 protein
190473	RPL22L1	BC062731.1	
104870	KIAA0251|LOC283970	NM_015027.1	KIAA0251 protein
136996	MARS	NM_004990.2	methionine-tRNA synthetase
207292	CCNT2	NM_001241.2	cyclin T2
129105	SUCLA2	NM_003850.1	succinate-CoA ligase, ADP-forming, beta subunit
233306	LOC402716		
189722	ASL	NM_000048.2	argininosuccinate lyase
183028	RSAD1	NM_018346.1	hypothetical protein FLJ11164
199852	CCNL1	NM_020307.1	cyclin L1
109628	ATP5D	NM_001687.3	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
103624	LOC390107		
127737	GSTO1	NM_004832.1	glutathione S-transferase omega 1
231746	null		
179422	RW1	BC036841.1	
228032	LOC153914	NM_003630.1	peroxisomal biogenesis factor 3
109106	LOC257039		
191451	RPP38		
132369	GDI2	NM_001494.2	GDP dissociation inhibitor 2
229178	null	AK055619.1	
115606	LOC402176	BC057822.1	
148303	DHX30	NM_014966.2	DEAH (Asp-Glu-Ala-His) box polypeptide 30
227398	LAMP2	NM_013995.1	lysosomal-associated membrane protein 2
149473	FAM50A	NM_004699.1	DNA segment on chromosome X (unique) 9928 expressed sequence
234459	null		
158067	TP53BP2	NM_005426.1	tumor protein p53 binding protein, 2
